Aafrika	アフリカ
Kofi Annan	コフィー・アナン
Liguuria	リグーリア州
Boutros Boutros-Ghali	ブトロス・ブトロス＝ガーリ
Meitneerium	マイトネリウム
Kurt Waldheim	クルト・ヴァルトハイム
Colorado	コロラド州
Emilia Romagna	エミリア＝ロマーニャ州
U Thant	ウ・タント
Colorado jõgi	コロラド川
Darmstadtium	ダームスタチウム
Dag Hammarskjöld	ダグ・ハマーショルド
Frédéric Chopin	フレデリック・ショパン
Penniini Alpid	ペンニネアルプス山脈
Trygve Halvdan Lie	トリグブ・リー
Röntgeenium	レントゲニウム
Toscana	トスカーナ州
Leonard Cohen	レナード・コーエン
Koperniitsium	コペルニシウム
Marche	マルケ州
Umbria	ウンブリア州
Kategooria:!JuurKategooria	Category:主要カテゴリ
Lazio	ラツィオ州
Dolomiidid	ドロミーティ
Abruzzo	アブルッツォ州
Apenniinid	アペニン山脈
Alpid	アルプス山脈
Jansenism	ジャンセニスム
Karpaadid	カルパティア山脈
Grenoble	グルノーブル
Blaise Pascal	ブレーズ・パスカル
Kabe	チェッカー
Dortmund	ドルトムント
Gent	ヘント
Chicago	シカゴ
The Beatles	ビートルズ
Ununtrium	ウンウントリウム
Fleroovium	フレロビウム
Ununpentium	ウンウンペンチウム
Livermoorium	リバモリウム
Ununseptium	ウンウンセプチウム
Ununoktium	ウンウンオクチウム
Como	コモ
Maastricht	マーストリヒト
Arnhem	アーネム
Talv	冬
Kevad	春
Suvi	夏
Sügis	秋
Võrdpäevsus	分点
Şaddām Ḩusayn	サッダーム・フセイン
Usāmah ibn Lādin	ウサーマ・ビン・ラーディン
Hispaania keel	スペイン語
Friedrich August von Hayek	フリードリヒ・ハイエク
Montevideo	モンテビデオ
Johann Sebastian Bach	ヨハン・ゼバスティアン・バッハ
Antonio Vivaldi	アントニオ・ヴィヴァルディ
Togliatti	トリヤッチ
Pittsburgh	ピッツバーグ
Ooper	オペラ
Philadelphia	フィラデルフィア
Kolkata	コルカタ
Opel Astra	アストラ (自動車)
Chennai	チェンナイ
Delhi	デリー
Dhaka	ダッカ
Bangalore	バンガロール
Lääne-Bengali osariik	西ベンガル州
Ämblikulised	クモ
Ämblikulaadsed	クモ綱
Lõugtundlased	鋏角亜門
Lülijalgsed	節足動物
Hyderabad	ハイデラバード
Islamabad	イスラマバード
Tripura	トリプラ州
Vili	果実
Raha	貨幣
Virginia	バージニア州
Lääne-Virginia	ウェストバージニア州
Matterhorn	マッターホルン
Dungeons & Dragons	ダンジョンズ&ドラゴンズ
Harilik paprika	トウガラシ
Piran	ピラン
Huroni järv	ヒューロン湖
New Yorgi osariik	ニューヨーク州
Tseerium	セリウム
Praseodüüm	プラセオジム
Rhode Island	ロードアイランド州
Neodüüm	ネオジム
Putukad	昆虫
Maryland	メリーランド州
Delaware	デラウェア州
Vladimir Lenin	ウラジーミル・レーニン
Euroopium	ユウロピウム
Ohio	オハイオ州
Vergilius	ウェルギリウス
Niccolò Machiavelli	ニッコロ・マキャヴェッリ
Pennsylvania	ペンシルベニア州
Francesco Petrarca	ペトラルカ
Giovanni Boccaccio	ジョヴァンニ・ボッカッチョ
Luigi Pirandello	ルイジ・ピランデルロ
Uetersen	ユーテルゼン
Augustus	アウグストゥス
Microsoft Windows	Microsoft Windows
Tiberius	ティベリウス
New Jersey osariik	ニュージャージー州
Caligula	カリグラ
Gibraltar	ジブラルタル
Claudius	クラウディウス
Soome keel	フィンランド語
Nero	ネロ
Galba	ガルバ
Indiana	インディアナ州
Otho	オト
Vitellius	アウルス・ウィテッリウス
Nokia (ettevõte)	ノキア
Vespasianus	ウェスパシアヌス
Auto	自動車
Titus	ティトゥス
Torino Juventus	ユヴェントスFC
Domitianus	ドミティアヌス
Nerva	ネルウァ
Traianus	トラヤヌス
Roger Federer	ロジャー・フェデラー
Hadrianus	ハドリアヌス
Georgia	ジョージア州
Antoninus Pius	アントニヌス・ピウス
Marcus Aurelius	マルクス・アウレリウス・アントニヌス
KDE	KDE
Lucius Verus	ルキウス・ウェルス
Commodus	コンモドゥス
Zagreb	ザグレブ
Pertinax	ペルティナクス
Rajasthan	ラージャスターン州
Campania	カンパニア州
Texas	テキサス州
Didius Julianus	ディディウス・ユリアヌス
Septimius Severus	セプティミウス・セウェルス
Molise	モリーゼ州
Tamil Nadu	タミル・ナードゥ州
Caracalla	カラカラ
Apuulia	プッリャ州
Genova	ジェノヴァ
Bruno Mars	ブルーノ・マーズ
Pinatubo	ピナトゥボ山
Basilicata	バジリカータ州
Põhja-Carolina	ノースカロライナ州
Maahoki	フィールドホッケー
Lõuna-Carolina	サウスカロライナ州
UC Sampdoria	UCサンプドリア
Calabria	カラブリア州
Sitsiilia maakond	シチリア
Manila	マニラ
Sardiinia	サルデーニャ
Ferdinand Marcos	フェルディナンド・マルコス
Noynoy Aquino	ベニグノ・アキノ3世
Loire	ロワール川
Maurits Cornelis Escher	マウリッツ・エッシャー
Seine	セーヌ川
Crohni tõbi	クローン病
Davao	ダバオ
Quezon City	ケソン
Le Mans	ル・マン
Bordeaux	ボルドー
Corazon Aquino	コラソン・アキノ
Mayon	マヨン山
Süsteemne erütematoosne luupus	全身性エリテマトーデス
Buenos Aires	ブエノスアイレス
Häkker	ハッカー
México	メキシコシティ
Tōkyō prefektuur	東京都
La Paz	ラパス
Barcelona	バルセロナ
Ananass	パイナップル
Mississippi osariik	ミシシッピ州
Fernão de Magalhães	フェルディナンド・マゼラン
Mississippi	ミシシッピ川
Uttar Pradesh	ウッタル・プラデーシュ州
Uttarakhand	ウッタラーカンド州
José Rizal	ホセ・リサール
Mizoram	ミゾラム州
Manuel Quezón	マニュエル・ケソン
Sikkim	シッキム州
Patagoonia	パタゴニア
Tennessee	テネシー州
Richard Wagner	リヒャルト・ワーグナー
Robert Louis Stevenson	ロバート・ルイス・スティーヴンソン
Janis Joplin	ジャニス・ジョプリン
Abidjan	アビジャン
Abu Dhabi	アブダビ
Astana	アスタナ
New Mexico	ニューメキシコ州
Ramses II	ラムセス2世
Ateena	アテネ
Ramses I	ラムセス1世
Minnesota	ミネソタ州
Ringristmik	ロータリー交差点
Bagdad	バグダード
Caracas	カラカス
UTC	協定世界時
Wisconsin	ウィスコンシン州
Cicero	マルクス・トゥッリウス・キケロ
AC Milan	ACミラン
Cyndi Lauper	シンディ・ローパー
Iowa	アイオワ州
Nebraska	ネブラスカ州
Guatemala (linn)	グアテマラシティ
Kansas	カンザス州
Havanna	ハバナ
Hindi keel	ヒンディー語
Marathi keel	マラーティー語
Internet Explorer	Internet Explorer
Sigar	葉巻きたばこ
Sigaret	紙巻きたばこ
Missouri osariik	ミズーリ州
Georg Simon Ohm	ゲオルク・オーム
Louisiana	ルイジアナ州
Luigi Galvani	ルイージ・ガルヴァーニ
Nagaland	ナガランド州
Kentucky	ケンタッキー州
Arkansas	アーカンソー州
Neil Armstrong	ニール・アームストロング
Urdu keel	ウルドゥー語
Charles Lindbergh	チャールズ・リンドバーグ
Altona	ハンブルク＝アルトナ
Édith Piaf	エディット・ピアフ
Osijek	オシエク
Elbe	エルベ川
Françoise Sagan	フランソワーズ・サガン
Rijeka	リエカ
Ems	エムス川
Oklahoma	オクラホマ州
Weser	ヴェーザー川
Yohan Blake	ヨハン・ブレーク
Justin Gatlin	ジャスティン・ガトリン
Doonau	ドナウ川
Kirani James	キラニ・ジェームス
David Lekuta Rudisha	デイヴィッド・レクタ・ルディシャ
Nijel Amos	ナイジェル・アモス
Värss	韻文
Split	スプリト
Ruhr	ルール川
Jacques Brel	ジャック・ブレル
Moseli jõgi	モーゼル川
Main	マイン川
Neckar	ネッカー川
Aare jõgi	アーレ川
Ezekiel Kemboi	エゼキエル・ケンボイ
Saale	ザーレ川
Havel	ハーフェル川
Spree	シュプレー川
Félix Sánchez	フェリックス・サンチェス
Põhjameri	北海
Skagerrak	スカゲラク海峡
Moskva oblast	モスクワ州
Nesta Carter	ネスタ・カーター
Stephen Kiprotich	スティーブン・キプロティチ
Abel Kirui	アベル・キルイ
Kiel	キール (ドイツ)
Schwerin	シュヴェリーン
Potsdam	ポツダム
Hannover	ハノーファー
Sergei Kirdjapkin	セルゲイ・キルジャプキン
Düsseldorf	デュッセルドルフ
Mainz	マインツ
Wiesbaden	ヴィースバーデン
Dubrovnik	ドゥブロヴニク
Saarbrücken	ザールブリュッケン
München	ミュンヘン
Samara oblast	サマラ州
Erfurt	エアフルト
Dresden	ドレスデン
Ivan Uhhov	イワン・ウーホフ
Magdeburg	マクデブルク
Võrkpall	バレーボール
Innsbruck	インスブルック
Bregenz	ブレゲンツ
Mu‘taz ‘Īsá Barshim	ムタズ・エサ・バルシム
Viin	ウィーン
Renaud Lavillenie	ルノー・ラビレニ
Madonna (laulja)	マドンナ (歌手)
Kopenhaagen	コペンハーゲン
Kaliningradi oblast	カリーニングラード州
Macrinus	マクリヌス
Stockholm	ストックホルム
Helsingi	ヘルシンキ
Murmanski oblast	ムルマンスク州
Reese Hoffa	リース・ホッファ
Dublin	ダブリン
Elagabalus	ヘリオガバルス
Murmansk	ムルマンスク
Reykjavík	レイキャヴィーク
Robert Harting	ロバート・ハルティング
Ella Fitzgerald	エラ・フィッツジェラルド
Severus Alexander	アレクサンデル・セウェルス
Tallinn	タリン
Eḩsān Ḩadādī	エフサン・ハダディ
Epitaaf	エピタフ
Riia	リガ
Sansibar	ザンジバル
Gerd Kanter	ゲルド・カンテル
Maximinus Thrax	マクシミヌス・トラクス
Louis Armstrong	ルイ・アームストロング
Bratislava	ブラチスラヴァ
Budapest	ブダペスト
Gordianus I	ゴルディアヌス1世
Kōji Murofushi	室伏広治
Charles Aznavour	シャルル・アズナヴール
Gdańsk	グダニスク
Trey Hardee	トレイ・ハーディ
Frankfurt	フランクフルト・アム・マイン
Pupienus	マルクス・クロディウス・プピエヌス・マクシムス
Wrocław	ヴロツワフ
Cochin	コーチ (インド)
Lantaan	ランタン
Gordianus II	ゴルディアヌス2世
Balbinus	デキムス・カエリウス・カルウィヌス・バルビヌス
Promeetium	プロメチウム
Astronoomiline ühik	天文単位
Gordianus III	ゴルディアヌス3世
Philippus Araablane	ピリップス・アラブス
Samaarium	サマリウム
Aceh	アチェ州
Kárášjohka vald	カラショーク
Kaliningrad	カリーニングラード
Decius	デキウス
Gadoliinium	ガドリニウム
Death Note	DEATH NOTE
Zinédine Zidane	ジネディーヌ・ジダン
Terbium	テルビウム
Katoliiklus	カトリシズム
Luxembourg	ルクセンブルク (都市)
Düsproosium	ジスプロシウム
Vaduz	ファドゥーツ
Piibel	聖書
Holmium	ホルミウム
San Marino (linn)	サンマリノ市
Erbium	エルビウム
Phnom Penh	プノンペン
Arhangelsk	アルハンゲリスク
Tuulium	ツリウム
Hồ Chí Minh (linn)	ホーチミン市
Üterbium	イッテルビウム
Luteetsium	ルテチウム
Hanoi	ハノイ
Tõeline Jeesuse Kirik	真イエス教会
Inglise keel	英語
Bangkok	バンコク
Andorra la Vella	アンドラ・ラ・ベリャ
Kuala Lumpur	クアラルンプール
Taipei	台北市
Ameriitsium	アメリシウム
Odessa	オデッサ
Arhangelski oblast	アルハンゲリスク州
Kuurium	キュリウム
Đồng Hới	ドンホイ
Concepción	コンセプシオン (チリ)
Berkeelium	バークリウム
Atalanta BC	アタランタBC
Kalifornium	カリホルニウム
Diplomaatia	外交
Bologna	ボローニャ
Einsteinium	アインスタイニウム
Bologna FC 1909	ボローニャFC
Memphis Depay	メンフィス・デパイ
Petroskoi	ペトロザヴォーツク
Fermium	フェルミウム
Cagliari	カリャリ
Mendeleevium	メンデレビウム
Kiiev	キエフ
Cagliari Calcio	カリアリ・カルチョ
Nobeelium	ノーベリウム
Catania	カターニア
Ontario	オンタリオ州
Lavrentsium	ローレンシウム
Yohan Cabaye	ヨアン・キャバイェ
Olivier Giroud	オリヴィエ・ジルー
Karim Benzema	カリム・ベンゼマ
Florent Malouda	フローラン・マルダ
Karjala Vabariik	カレリア共和国
Laurent Koscielny	ローラン・コシールニー
Patrice Évra	パトリス・エヴラ
Franck Ribéry	フランク・リベリー
Mathieu Valbuena	マテュー・ヴァルブエナ
Samir Nasri	サミル・ナスリ
Blaise Matuidi	ブレーズ・マテュイディ
Jérémy Ménez	ジェレミー・メネス
Hatem Ben Arfa	ハテム・ベン・アルファ
Gaël Clichy	ガエル・クリシー
Ottawa	オタワ
Anja Pärson	アニヤ・パーション
Éric Abidal	エリック・アビダル
William Gallas	ウィリアム・ギャラス
Bacary Sagna	バカリ・サニャ
Nicolas Anelka	ニコラ・アネルカ
Veenuse atmosfäär	金星の大気
Sébastien Squillaci	セバスティアン・スキラシ
Abou Diaby	アブー・ディアビ
Benjamin Raich	ベンヤミン・ライヒ
Juba (Lõuna-Sudaan)	ジュバ
Manitoba provints	マニトバ州
Alberto Tomba	アルベルト・トンバ
Alberta	アルバータ州
Nova Scotia	ノバスコシア州
Jerevan	エレバン
Gustav Thöni	グスタヴォ・トエニ
Hermann Maier	ヘルマン・マイヤー
Vologda	ヴォログダ
Vreni Schneider	フレニ・シュナイダー
Końskowola	コィンスコヴォラ
Dar es Salaam	ダルエスサラーム
Hartum	ハルツーム
New Brunswick	ニューブランズウィック州
Vormel 1	フォーミュラ1
Briti Columbia	ブリティッシュコロンビア州
Prints Edwardi saar	プリンスエドワードアイランド州
2000	2000年
2003	2003年
2002	2002年
2001	2001年
Saskatchewani provints	サスカチュワン州
2012	2012年
Masashi Kishimoto	岸本斉史
2011	2011年
2010	2010年
2009	2009年
Süsihappegaas	二酸化炭素
2013	2013年
2014	2014年
2015	2015年
Newfoundland ja Labrador	ニューファンドランド・ラブラドール州
2008	2008年
JavaScript	JavaScript
Loodealad	ノースウエスト準州
Yukon	ユーコン準州
2004	2004年
Vologda oblast	ヴォログダ州
Wikitravel	ウィキトラベル
Calcio Catania	カルチョ・カターニア
2005	2005年
2006	2006年
Nunavut	ヌナブト準州
2007	2007年
Vingugaas	一酸化炭素
Linux Mint	Linux Mint
Verona	ヴェローナ
Iqaluit	イカルイト
Marc Girardelli	マーク・ジラルデリ
1900	1900年
1901	1901年
Verona Chievo	ACキエーヴォ・ヴェローナ
François Mitterrand	フランソワ・ミッテラン
Titus Livius	ティトゥス・リウィウス
Giuseppe Farina	ジュゼッペ・ファリーナ
Charles de Gaulle	シャルル・ド・ゴール
1902	1902年
Firenze	フィレンツェ
1903	1903年
1904	1904年
1905	1905年
1907	1907年
1906	1906年
ACF Fiorentina	ACFフィオレンティーナ
HTML5	HTML5
Seneca	ルキウス・アンナエウス・セネカ
1908	1908年
1909	1909年
Whitehorse	ホワイトホース (ユーコン準州)
1992	1992年
Yellowknife	イエローナイフ
1991	1991年
JSON	JavaScript Object Notation
1990	1990年
1993	1993年
Essen	エッセン
1994	1994年
1995	1995年
Juan Manuel Fangio	ファン・マヌエル・ファンジオ
1996	1996年
David Lynch	デヴィッド・リンチ
Marcel Hirscher	マルセル・ヒルシャー
Komi	コミ共和国
Genoa CFC	ジェノアCFC
1910	1910年
1911	1911年
1912	1912年
SVG	Scalable Vector Graphics
Leipzig	ライプツィヒ
1913	1913年
Saint John's (Kanada)	セントジョンズ (ニューファンドランド・ラブラドール州)
1914	1914年
1915	1915年
Twin Peaks	ツイン・ピークス
Alberto Ascari	アルベルト・アスカリ
1916	1916年
1997	1997年
1998	1998年
Nürnberg	ニュルンベルク
1999	1999年
1917	1917年
Dokumendi objektimudel	Document Object Model
1918	1918年
Toit	食品
Edmonton	エドモントン
Kjetil André Aamodt	チェーティル・アンドレ・オーモット
Martialis	マルティアリス
Punalehik	イッポンシメジ属
Duisburg	デュースブルク
Elementaarlaeng	電気素量
Maolised	ヘビ
Bochum	ボーフム
Jacques Chirac	ジャック・シラク
Wuppertal	ヴッパータール
Arica y Parinacota	アリカ・イ・パリナコータ州
Valguse kiirus	光速
Bielefeld	ビーレフェルト
Tarapacá piirkond	タラパカ州
XML	Extensible Markup Language
Antofagasta piirkond	アントファガスタ州
Mannheim	マンハイム
Oraalseks	オーラルセックス
Regina	レジャイナ
Valéry Giscard d'Estaing	ヴァレリー・ジスカール・デスタン
Neutriinod	ニュートリノ
Bode Miller	ボディー・ミラー
Victoria (Briti Columbia)	ビクトリア (ブリティッシュコロンビア州)
LOL	（笑）
Winnipeg	ウィニペグ
NSV Liidu Rahvakomissaride Nõukogu	ソビエト連邦人民委員会議
Totma	トチマ
Halifax	ハリファックス
Sõktõvkar	スィクティフカル
Tšerepovets	チェレポヴェツ
Québec (linn)	ケベック・シティー
1. jaanuar	1月1日
2. jaanuar	1月2日
Uraani kaaslased	天王星の衛星と環
1920	1920年
3. jaanuar	1月3日
1919	1919年
Tacitus	タキトゥス
