افریقہ	アフリカ
سٹاکہوم	ストックホルム
ہلسنکی	ヘルシンキ
مورمانسک اوبلاست	ムルマンスク州
ڈبلن	ダブリン
مورمانسک	ムルマンスク
ریکیاوک	レイキャヴィーク
ٹالن	タリン
ریگا	リガ
زنجبار	ザンジバル
لوئی آرمسٹرانگ	ルイ・アームストロング
براٹیسلاوا	ブラチスラヴァ
بوداپست	ブダペスト
فرینکفرٹ	フランクフルト・アム・マイン
وراتسواف	ヴロツワフ
کوچی	コーチ (インド)
مکتوم	ランタン
Promethium	プロメチウム
فلکیاتی اکائی	天文単位
سین-تروپے	サントロペ
سمارئیم	サマリウム
باگیؤ	バギオ
آچے	アチェ州
تاگبیلاران	タグビララン
کیلننگراڈ	カリーニングラード
گیڈولنیئم	ガドリニウム
زین الدین یزید زیدان	ジネディーヌ・ジダン
ٹربیئم	テルビウム
لکسمبرگ (شہر)	ルクセンブルク (都市)
ڈسپروزیئم	ジスプロシウム
واڈوز	ファドゥーツ
کتاب مقدس	聖書
ہولمیئم	ホルミウム
سان مارینو شہر	サンマリノ市
عیربیئم	エルビウム
پنوم پن	プノンペン
آرخانگلسک	アルハンゲリスク
تھلیئم	ツリウム
ہو چی من	ホーチミン市
یٹّربیئم	イッテルビウム
لوٹیٹیئم	ルテチウム
ہنوئی	ハノイ
کلیسائے عیسوی حقیقی	真イエス教会
انگریزی زبان	英語
بنکاک	バンコク
انڈورا لا ویلا	アンドラ・ラ・ベリャ
کوالالمپور	クアラルンプール
جزائر بانگکا بیلیٹنگ	バンカ・ブリトゥン州
تائپے	台北市
امریکیئم	アメリシウム
اودیسا	オデッサ
آرخانگلسک اوبلاست	アルハンゲリスク州
کیوریئم	キュリウム
دونگ ہوئی	ドンホイ
کونسیپشیون	コンセプシオン (チリ)
برکیلیئم	バークリウム
کیلیفورنیئم	カリホルニウム
سفارت کاری	外交
بنگکولو	ブンクル州
بلونیا	ボローニャ
آئنسٹائنیئم	アインスタイニウム
پیٹروزاودسک	ペトロザヴォーツク
Fermium	フェルミウム
Mendelevium	メンデレビウム
کیف	キエフ
Nobelium	ノーベリウム
انٹاریو	オンタリオ州
Lawrencium	ローレンシウム
عادل رامی	アディル・ラミ
کریم بنزیما	カリム・ベンゼマ
جمہوریہ کریلیا	カレリア共和国
فرانک ریبری	フランク・リベリー
سمیر نصری	サミル・ナスリ
حاتم بن عرفہ	ハテム・ベン・アルファ
اوٹاوا	オタワ
خلائی دوڑ	宇宙開発競争
ایرک ابیدال	エリック・アビダル
جبریل سیسے	ジブリル・シセ
باکاری سانا	バカリ・サニャ
نیکولا آنلکا	ニコラ・アネルカ
ابو دیابی	アブー・ディアビ
جوبا	ジュバ
مانیٹوبا	マニトバ州
البرٹا	アルバータ州
نووا سکوشیا	ノバスコシア州
یریوان	エレバン
کونسکوولا	コィンスコヴォラ
دارالسلام	ダルエスサラーム
خرطوم	ハルツーム
نیو برنزویک	ニューブランズウィック州
فورملا ون	フォーミュラ1
برٹش کولمبیا	ブリティッシュコロンビア州
پرنس ایڈورڈ آئی لینڈ	プリンスエドワードアイランド州
2000ء	2000年
2003ء	2003年
2002ء	2002年
2001ء	2001年
ساسکچیوان	サスカチュワン州
2012ء	2012年
2011ء	2011年
2010ء	2010年
2009ء	2009年
کاربن دو اکسید	二酸化炭素
2013ء	2013年
2014ء	2014年
2015ء	2015年
نیو فاؤنڈ لینڈ اور لیبراڈور	ニューファンドランド・ラブラドール州
2008ء	2008年
جاوا سکرپٹ	JavaScript
شمال مغربی علاقہ جات، کینیڈا	ノースウエスト準州
يوكون	ユーコン準州
2004ء	2004年
ولوگدا اوبلاست	ヴォログダ州
2005ء	2005年
2006ء	2006年
نناوت	ヌナブト準州
2007ء	2007年
Carbon monoxide	一酸化炭素
اکالوئٹ	イカルイト
1900ء	1900年
1901ء	1901年
جسیپی فارینہ	ジュゼッペ・ファリーナ
چارلس ڈیگال	シャルル・ド・ゴール
1902ء	1902年
فلورنس	フィレンツェ
1903ء	1903年
1904ء	1904年
1905ء	1905年
1907ء	1907年
1906ء	1906年
جامبی	ジャンビ州
1908ء	1908年
1909ء	1909年
وائٹ ہارس (یوکون)	ホワイトホース (ユーコン準州)
1992ء	1992年
یلوکنیفے	イエローナイフ
1991ء	1991年
1990ء	1990年
1993ء	1993年
ایسین	エッセン
1994ء	1994年
1995ء	1995年
یوآن مینوعل فانگیو	ファン・マヌエル・ファンジオ
1996ء	1996年
کومی جمہوریہ	コミ共和国
1910ء	1910年
1911ء	1911年
1912ء	1912年
پیمانی سمتیہ تخطیط	Scalable Vector Graphics
لائپزش	ライプツィヒ
1913ء	1913年
سینٹ جانز، نیوفنلینڈ اور لیبراڈار	セントジョンズ (ニューファンドランド・ラブラドール州)
1914ء	1914年
1915ء	1915年
ایلبرٹو اسکاری	アルベルト・アスカリ
1916ء	1916年
1997ء	1997年
1998ء	1998年
نورنبرگ	ニュルンベルク
1999ء	1999年
1917ء	1917年
1918ء	1918年
غذا	食品
ایڈمنٹن	エドモントン
بنیادی بار	電気素量
سانپ	ヘビ
مائیک ہوتھورن	マイク・ホーソーン
لامپونگ	ランプン州
روشنی کی رفتار	光速
توسیعی مارک اپ زبان	Extensible Markup Language
دہنی جماع	オーラルセックス
ریجینا، ساسکچیوان	レジャイナ
جسکا د ایستاں	ヴァレリー・ジスカール・デスタン
جیک بریبیم	ジャック・ブラバム
نیوٹرینو	ニュートリノ
شارلٹٹاؤن	シャーロットタウン
وکٹوریا، برٹش کولمبیا	ビクトリア (ブリティッシュコロンビア州)
ونی پیگ	ウィニペグ
فریڈریکٹن (نیو برنزوک)	フレデリクトン
شمالی سماٹرا	北スマトラ州
ہیلی فیکس (نووا سکوشیا)	ハリファックス
سیکتیوکار	スィクティフカル
کیوبک شہر	ケベック・シティー
متناسق عالمی وقت−12:00	UTC-12
1 جنوری	1月1日
2 جنوری	1月2日
سبھاش چندر بوس	スバス・チャンドラ・ボース
متناسق عالمی وقت−11:00	UTC-11
1920ء	1920年
3 جنوری	1月3日
1919ء	1919年
متناسق عالمی وقت−10:30	UTC-10:30
1921ء	1921年
متناسق عالمی وقت−10:00	UTC-10
نینیتس خود مختار آکرگ	ネネツ自治管区
1922ء	1922年
لونڈ	ルンド
4 جنوری	1月4日
1923ء	1923年
متناسق عالمی وقت−09:30	UTC-9:30
1924ء	1924年
ناریان-مار	ナリヤン・マル
ریاو	リアウ州
مالولوس	マロロス市
متناسق عالمی وقت−09:00	UTC-9
روسی سوویت وفاقی اشتراکی جمہوریہ	ロシア・ソビエト連邦社会主義共和国
لیننگراڈ اوبلاست	レニングラード州
مشترکہ گروہ برائے عکسیہ ماہران	JPEG
متناسق عالمی وقت−08:30	UTC-8:30
بونا سیارہ	準惑星
توگوئگاراؤ	トゥゲガラオ
5 جنوری	1月5日
متناسق عالمی وقت−08:00	UTC-8
ناگا، کامارینز جنوبی	ナガ (カマリネス・スル州)
روکاس، کاپیز	ロハス (カピス州)
مالمو	マルメ
متناسق عالمی وقت−07:00	UTC-7
پسکوف اوبلاست	プスコフ州
دریائے پیس	ピース川
6 جنوری	1月6日
ریاو جزائر صوبہ	リアウ諸島州
برقیہ	電子
دریائے سلیو	スレイブ川
7 جنوری	1月7日
8 جنوری	1月8日
9 جنوری	1月9日
نووگورود اوبلاست	ノヴゴロド州
10 جنوری	1月10日
نزہنی نووگورود اوبلاست	ニジニ・ノヴゴロド州
11 جنوری	1月11日
12 جنوری	1月12日
لیارڈ دریا	リアード川
کولمبیا دریا	コロンビア川
13 جنوری	1月13日
برمنگھم	バーミンガム
14 جنوری	1月14日
15 جنوری	1月15日
16 جنوری	1月16日
کوٹینے دریا	クートネー川
17 جنوری	1月17日
18 جنوری	1月18日
19 جنوری	1月19日
20 جنوری	1月20日
صنعتی انقلاب	産業革命
بنزین	ベンゼン
جنوبی سماٹرا	南スマトラ州
21 جنوری	1月21日
22 جنوری	1月22日
23 جنوری	1月23日
رومی سلطنت	ローマ帝国
24 جنوری	1月24日
25 جنوری	1月25日
منسک	ミンスク
لارڈ ساؤرن	サウロン
26 جنوری	1月26日
مائیکروسافٹ	マイクロソフト
27 جنوری	1月27日
28 جنوری	1月28日
29 جنوری	1月29日
30 جنوری	1月30日
31 جنوری	1月31日
توور اوبلاست	トヴェリ州
اولیہ (جوہر)	陽子
2 دسمبر	12月2日
1 دسمبر	12月1日
3 دسمبر	12月3日
7 دسمبر	12月7日
5 دسمبر	12月5日
8 دسمبر	12月8日
10 دسمبر	12月10日
6 دسمبر	12月6日
9 دسمبر	12月9日
4 دسمبر	12月4日
1 فروری	2月1日
2 فروری	2月2日
3 فروری	2月3日
کوروف	クルフ
4 فروری	2月4日
5 فروری	2月5日
6 فروری	2月6日
7 فروری	2月7日
8 فروری	2月8日
9 فروری	2月9日
10 فروری	2月10日
کیمیاء	化学
14 فروری	2月14日
13 فروری	2月13日
15 فروری	2月15日
11 فروری	2月11日
12 فروری	2月12日
سمولنسک	スモレンスク
روبن وین پرسی	ロビン・ファン・ペルシ
19 فروری	2月19日
17 فروری	2月17日
16 فروری	2月16日
18 فروری	2月18日
20 فروری	2月20日
تحلیلی کیمیاء	分析化学
سمولنسک اوبلاست	スモレンスク州
نیوٹرون	中性子
21 فروری	2月21日
22 فروری	2月22日
23 فروری	2月23日
24 فروری	2月24日
25 فروری	2月25日
26 فروری	2月26日
27ء	27年
27 فروری	2月27日
28 فروری	2月28日
11 دسمبر	12月11日
29 فروری	2月29日
12 دسمبر	12月12日
13 دسمبر	12月13日
14 دسمبر	12月14日
15 دسمبر	12月15日
2 مارچ	3月2日
3 مارچ	3月3日
5 مارچ	3月5日
1 مارچ	3月1日
7 مارچ	3月7日
8 مارچ	3月8日
4 مارچ	3月4日
10 مارچ	3月10日
11 مارچ	3月11日
6 مارچ	3月6日
13 مارچ	3月13日
9 مارچ	3月9日
12 مارچ	3月12日
15 مارچ	3月15日
14 مارچ	3月14日
16 دسمبر	12月16日
17 دسمبر	12月17日
16 مارچ	3月16日
17 مارچ	3月17日
18 مارچ	3月18日
یاروسلاول	ヤロスラヴリ
19 مارچ	3月19日
1989ء	1989年
1988ء	1988年
20 مارچ	3月20日
1987ء	1987年
1986ء	1986年
1985ء	1985年
1984ء	1984年
21 مارچ	3月21日
1983ء	1983年
22 مارچ	3月22日
1982ء	1982年
1981ء	1981年
18 دسمبر	12月18日
1980ء	1980年
23 مارچ	3月23日
یاروسلاول اوبلاست	ヤロスラヴリ州
موغادیشو	モガディシュ
19 دسمبر	12月19日
24 مارچ	3月24日
25 مارچ	3月25日
20 دسمبر	12月20日
26 مارچ	3月26日
27 مارچ	3月27日
28 مارچ	3月28日
29 مارچ	3月29日
30 مارچ	3月30日
31 مارچ	3月31日
نساؤ	ナッソー
اینڈرومیڈا	アンドロメダ銀河
صنعاء	サナア
1970ء	1970年
1971ء	1971年
1972ء	1972年
1973ء	1973年
1974ء	1974年
1975ء	1975年
1976ء	1976年
1977ء	1977年
1978ء	1978年
1979ء	1979年
1969ء	1969年
تاراوا	タラワ
جنگ سی سالہ	三十年戦争
کونارڈ ایڈنائر	コンラート・アデナウアー
معطیاتی دابیت	データ圧縮
بطریق اعظم بینیڈکٹ شانزدہم	ベネディクト16世 (ローマ教皇)
طفیلی کہکشاں	伴銀河
15 اپریل	4月15日
13 اپریل	4月13日
12 اپریل	4月12日
14 اپریل	4月14日
11 اپریل	4月11日
10 اپریل	4月10日
8 اپریل	4月8日
9 اپریل	4月9日
7 اپریل	4月7日
6 اپریل	4月6日
5 اپریل	4月5日
4 اپریل	4月4日
3 اپریل	4月3日
1 اپریل	4月1日
2 اپریل	4月2日
ہبل خلائی دوربین	ハッブル宇宙望遠鏡
16 اپریل	4月16日
17 اپریل	4月17日
18 اپریل	4月18日
19 اپریل	4月19日
20 اپریل	4月20日
21 اپریل	4月21日
22 اپریل	4月22日
23 اپریل	4月23日
24 اپریل	4月24日
25 اپریل	4月25日
26 اپریل	4月26日
27 اپریل	4月27日
28 اپریل	4月28日
29 اپریل	4月29日
30 اپریل	4月30日
قدرتی سیارچہ	衛星
جواشم گاک	ヨアヒム・ガウク
کرسچن وولف	クリスティアン・ヴルフ
ہورسٹ کوہلر	ホルスト・ケーラー
1 مئی	5月1日
2 مئی	5月2日
3 مئی	5月3日
4 مئی	5月4日
5 مئی	5月5日
جوہانس را	ヨハネス・ラウ
6 مئی	5月6日
7 مئی	5月7日
8 مئی	5月8日
9 مئی	5月9日
10 مئی	5月10日
11 مئی	5月11日
12 مئی	5月12日
13 مئی	5月13日
14 مئی	5月14日
15 مئی	5月15日
رومن ہرزوگ	ローマン・ヘルツォーク
رچرڈ وون وائسزاکر	リヒャルト・フォン・ヴァイツゼッカー
کارل کارسٹنس	カール・カルステンス
والٹر شیل	ヴァルター・シェール
گستاو ہائنمین	グスタフ・ハイネマン
16 مئی	5月16日
17 مئی	5月17日
18 مئی	5月18日
19 مئی	5月19日
20 مئی	5月20日
21 مئی	5月21日
22 مئی	5月22日
ہائنرک لبکے	ハインリヒ・リュプケ
23 مئی	5月23日
24 مئی	5月24日
25 مئی	5月25日
26 مئی	5月26日
27 مئی	5月27日
28 مئی	5月28日
29 مئی	5月29日
30 مئی	5月30日
31 مئی	5月31日
کوستروما اوبلاست	コストロマ州
