Աֆրիկա	アフリカ
Ժան Բատիստ Լյուլլի	ジャン＝バティスト・リュリ
Մեգհալայա	メーガーラヤ州
Հյուսիսային Հռենոս-Վեսթֆալիա	ノルトライン＝ヴェストファーレン州
Հեսսեն	ヘッセン州
Սաքսոնիա	ザクセン州
Ջոն Լենոն	ジョン・レノン
Իլինոյս	イリノイ州
Թյուրինգիա	テューリンゲン州
Սաքսոնիա-Անհալթ	ザクセン＝アンハルト州
Հյուսիսային Դակոտա	ノースダコタ州
Բրանդենբուրգ	ブランデンブルク州
Լոմբարդիա	ロンバルディア州
Հարավային Դակոտա	サウスダコタ州
Մոնտանա	モンタナ州
Վայոմինգ	ワイオミング州
Սթրեյթ էդջ	ストレート・エッジ
Երուսաղեմ	エルサレム
Այդահո	アイダホ州
Վալլե Դ'Աոստա	ヴァッレ・ダオスタ州
Վաշինգտոն (նահանգ)	ワシントン州
Բրյուս Սպրինգստին	ブルース・スプリングスティーン
Ռեզերֆորդիում	ラザホージウム
Նևադա	ネバダ州
Դոն (գետ)	ドン川
Դուբնիում	ドブニウム
Սիբորգիում	シーボーギウム
Ջուզեպե Սարագատ	ジュゼッペ・サーラガト
Հնդկական օվկիանոս	インド洋
Կոսովո	コソボ
Կարիբյան ծով	カリブ海
Բորիում	ボーリウム
Հասիում	ハッシウム
Բան Կի Մուն	潘基文
Քոֆի Անան	コフィー・アナン
Լիգուրիա	リグーリア州
Բուտրոս Բուտրոս-Ղալի	ブトロス・ブトロス＝ガーリ
Մայտներիում	マイトネリウム
Կուրտ Վալդհայմ	クルト・ヴァルトハイム
Կոլորադո	コロラド州
Կոլորադո (գետ)	コロラド川
Դարմշտադիում	ダームスタチウム
Դագ Համարշոլդ	ダグ・ハマーショルド
Ֆրեդերիկ Շոպեն	フレデリック・ショパン
Ռենտգենիում	レントゲニウム
Գեդվին Ջեբ	ヒューバート・マイルズ・グラッドウィン・ジェブ (初代グラッドウィン男爵)
Լեոնարդ Քոհեն	レナード・コーエン
Կատեգորիա:Հիմնական	Category:主要カテゴリ
Լացիո	ラツィオ州
Աբրուցցո	アブルッツォ州
Ալպեր	アルプス山脈
Կարպատներ	カルパティア山脈
Գրենոբլ	グルノーブル
Բլեզ Պասկալ	ブレーズ・パスカル
Դորտմունդ	ドルトムント
Գենտ	ヘント
Չիկագո	シカゴ
The Beatles	ビートルズ
Վախենինգեն (Նիդերլանդներ)	ヴァーヘニンゲン
Մաստրիխտ	マーストリヒト
Արնհեմ	アーネム
Ձմեռ	冬
Գարուն	春
Ամառ	夏
Աշուն	秋
Գիշերահավասար	分点
Սադդամ Հուսեյն	サッダーム・フセイン
Ուսամա բեն Լադեն	ウサーマ・ビン・ラーディン
Իսպաներեն	スペイン語
Ֆրիդրիխ ֆոն Հայեկ	フリードリヒ・ハイエク
Մոնտևիդեո	モンテビデオ
Յոհան Սեբաստիան Բախ	ヨハン・ゼバスティアン・バッハ
Անտոնիո Վիվալդի	アントニオ・ヴィヴァルディ
Օպերա	オペラ
Ֆիլադելֆիա	フィラデルフィア
Կալկաթա	コルカタ
Չեննայ	チェンナイ
Դելի	デリー
Դաքքա	ダッカ
Սարդեր	クモ
Սարդակերպեր	クモ綱
Հոդվածոտանիներ	節足動物
Իսլամաբադ	イスラマバード
Պտուղ	果実
Կապիկներ	サル
Փող	貨幣
Վիրջինիա	バージニア州
Արևմտյան Վիրջինիա	ウェストバージニア州
Հուրոն լիճ	ヒューロン湖
Նյու Յորք (նահանգ)	ニューヨーク州
Ցերիում	セリウム
Պրազեդիում	プラセオジム
Ռոդ Այլենդ	ロードアイランド州
Նեոդիմ	ネオジム
Միջատներ	昆虫
Մերիլենդ	メリーランド州
Դելավեր	デラウェア州
Վլադիմիր Լենին	ウラジーミル・レーニン
Եվրոպիում	ユウロピウム
Օհայո	オハイオ州
Վերգիլիոս	ウェルギリウス
Նիկոլո Մաքիավելի	ニッコロ・マキャヴェッリ
Փենսիլվանիա	ペンシルベニア州
Ֆրանչեսկո Պետրարկա	ペトラルカ
Ջովաննի Բոկաչչո	ジョヴァンニ・ボッカッチョ
Ուետերսեն	ユーテルゼン
Օկտավիանոս Օգոստոս	アウグストゥス
Մայքրոսոֆթ Վինդոուզ	Microsoft Windows
Տիբերիոս	ティベリウス
Նյու Ջերսի	ニュージャージー州
Կալիգուլա	カリグラ
Ջիբրալթար	ジブラルタル
Կլավդիոս	クラウディウス
Ֆիններեն	フィンランド語
Ներոն	ネロ
Գալբա	ガルバ
Ինդիանա	インディアナ州
Օտոն	オト
Վիտելլիոս	アウルス・ウィテッリウス
Վեսպասիանոս	ウェスパシアヌス
Ավտոմեքենա	自動車
Տիտոս	ティトゥス
Յուվենտուս	ユヴェントスFC
Դոմիցիանոս	ドミティアヌス
Ներվա	ネルウァ
Տրայանոս	トラヤヌス
Ռոջեր Ֆեդերեր	ロジャー・フェデラー
Հադրիանոս	ハドリアヌス
Ջորջիա	ジョージア州
Անտոնինոս Պիոս	アントニヌス・ピウス
Մարկոս Ավրելիոս	マルクス・アウレリウス・アントニヌス
Լուցիոս Վերոս	ルキウス・ウェルス
Կոմմոդոս	コンモドゥス
Զագրեբ	ザグレブ
Պերտինաքս	ペルティナクス
Տեխաս	テキサス州
Դիդիուս Հուլիանուս	ディディウス・ユリアヌス
Սեպտիմիոս Սևերոս	セプティミウス・セウェルス
Մոլիզե	モリーゼ州
Թամիլ Նադու	タミル・ナードゥ州
Կարակալլա	カラカラ
Ջենովա	ジェノヴァ
Բրունո Մարս	ブルーノ・マーズ
Ալեքսանդրա Ստան	アレクサンドラ・スタン
Հյուսիսային Կարոլինա	ノースカロライナ州
Մականախաղ	フィールドホッケー
Հարավային Կարոլինա	サウスカロライナ州
Սամպդորիա (Ֆուտբոլային ակումբ)	UCサンプドリア
Կալաբրիա	カラブリア州
Սիցիլիա (մարզ)	シチリア
Մանիլա	マニラ
Սարդինիա	サルデーニャ
Ֆերդինանդ Մարկոս	フェルディナンド・マルコス
Լուար (գետ)	ロワール川
Սեն (գետ)	セーヌ川
Բորդո	ボルドー
Կորասոն Ակինո	コラソン・アキノ
Բուենոս Այրես	ブエノスアイレス
Մեխիկո	メキシコシティ
Տոկիո	東京都
Լա Պաս	ラパス
Բարսելոնա	バルセロナ
Միսսիսիպի	ミシシッピ州
Ֆերնան Մագելան	フェルディナンド・マゼラン
Միսիսիպի գետ	ミシシッピ川
Ավազան (ճարտարապետական)	プール
Թենեսի	テネシー州
Ռիխարդ Վագներ	リヒャルト・ワーグナー
Ռոբերտ Լուիս Սթիվենսոն	ロバート・ルイス・スティーヴンソン
Ջենիս Ջոպլին	ジャニス・ジョプリン
Աբիջան	アビジャン
Աբու Դաբի	アブダビ
Աստանա	アスタナ
Նյու Մեքսիկո	ニューメキシコ州
Ռամզես II	ラムセス2世
Աթենք	アテネ
Մինեսոտա	ミネソタ州
Բաղդադ	バグダード
Կարակաս	カラカス
Համաշխարհային կոորդինացված ժամանակ	協定世界時
Վիսկոնսին	ウィスコンシン州
Կիկերոն	マルクス・トゥッリウス・キケロ
Միլան (ֆուտբոլային ակումբ)	ACミラン
Այովա	アイオワ州
Նեբրասկա	ネブラスカ州
Կանզաս	カンザス州
Հավանա	ハバナ
Հինդի	ヒンディー語
Ինտերնետ Էքսպլորեր	Internet Explorer
Սիգար	葉巻きたばこ
Ծխախոտ	紙巻きたばこ
Միսսուրի	ミズーリ州
Գեորգ Օհմ	ゲオルク・オーム
Լուիզիանա	ルイジアナ州
Կենտուկի	ケンタッキー州
Արկանզաս (նահանգ)	アーカンソー州
Նիլ Արմստրոնգ	ニール・アームストロング
Էդիթ Պիաֆ	エディット・ピアフ
Էլբա	エルベ川
Ֆրանսուազ Սագան	フランソワーズ・サガン
Էմս	エムス川
Օկլահոմա	オクラホマ州
Դանուբ	ドナウ川
Բանաստեղծություն	韻文
Սպլիտ (քաղաք)	スプリト
Ժակ Բրել	ジャック・ブレル
Մոզել (գետ)	モーゼル川
Մայն	マイン川
Աարե (գետ)	アーレ川
Ջեյսոն Ռիչարդսոն	ジェイソン・リチャードソン
Հյուսիսային ծով	北海
Սկագերակ	スカゲラク海峡
Մոսկվայի մարզ	モスクワ州
Քիլ	キール (ドイツ)
Շվերին	シュヴェリーン
Պոտսդամ	ポツダム
Հաննովեր	ハノーファー
Դյուսելդորֆ	デュッセルドルフ
Մայնց	マインツ
Վիսբադեն	ヴィースバーデン
Սաարբրյուքեն	ザールブリュッケン
Մյունխեն	ミュンヘン
Սամարայի մարզ	サマラ州
Էրֆուրտ	エアフルト
Դրեզդեն	ドレスデン
Մագդեբուրգ	マクデブルク
Վոլեյբոլ	バレーボール
Ինսբրուք	インスブルック
Վիեննա	ウィーン
Մադոննա	マドンナ (歌手)
Կոպենհագեն	コペンハーゲン
Կալինինգրադի մարզ	カリーニングラード州
Ստոկհոլմ	ストックホルム
Հելսինկի	ヘルシンキ
Մուրմանսկի մարզ	ムルマンスク州
Դուբլին	ダブリン
Մուրմանսկ	ムルマンスク
Ռեյկյավիկ	レイキャヴィーク
Էլլա Ֆիցջերալդ	エラ・フィッツジェラルド
Ալեքսանդր Սևերոս	アレクサンデル・セウェルス
Տալլին	タリン
Տապանագիր	エピタフ
Ռիգա	リガ
Մակսիմինոս Թրակիացի	マクシミヌス・トラクス
Լուի Արմսթրոնգ	ルイ・アームストロング
Բրատիսլավա	ブラチスラヴァ
Բուդապեշտ	ブダペスト
Հորդիանոս I (Աֆրիկացի)	ゴルディアヌス1世
Շառլ Ազնավուր	シャルル・アズナヴール
Գդանսկ	グダニスク
Մայնի Ֆրանկֆուրտ	フランクフルト・アム・マイン
Վրոցլավ	ヴロツワフ
Լանթան	ランタン
Պրոմեթիում	プロメチウム
Աստղագիտական միավոր	天文単位
Սամարիում	サマリウム
Կալինինգրադ	カリーニングラード
Գադոլինիում	ガドリニウム
Մահվան տետրը	DEATH NOTE
Զինեդին Զիդան	ジネディーヌ・ジダン
Տերբիում	テルビウム
Վեյնենդալ	ヴィーネンダール
Կաթոլիկություն	カトリシズム
Լյուքսեմբուրգ (քաղաք)	ルクセンブルク (都市)
Դիսպրոզիում	ジスプロシウム
Վադուց	ファドゥーツ
Աստվածաշունչ	聖書
Հոլմիում	ホルミウム
Սան Մարինո (քաղաք)	サンマリノ市
Էրբիում	エルビウム
Պնոմպեն	プノンペン
Արխանգելսկ	アルハンゲリスク
Թուլիում	ツリウム
Հոշիմին	ホーチミン市
Իտերբիում	イッテルビウム
Լուտեցիում	ルテチウム
Հանոյ	ハノイ
Հիսուսի ճշմարիտ եկեղեցի	真イエス教会
Անգլերեն	英語
Բանգկոկ	バンコク
Անդորրա լա Վելյա	アンドラ・ラ・ベリャ
Կուալա Լումպուր	クアラルンプール
Թայբեյ	台北市
Ամերիցիում	アメリシウム
Օդեսա	オデッサ
Արխանգելսկի մարզ	アルハンゲリスク州
Կյուրիում	キュリウム
Դոնգհոյ	ドンホイ
Կոնսեպսիոն (քաղաք Չիլիում)	コンセプシオン (チリ)
Բերկլիում	バークリウム
Ատալանտա (ֆուտբոլային ակումբ)	アタランタBC
Կալիֆոռնիում	カリホルニウム
Դիվանագիտություն	外交
Բոլոնիա	ボローニャ
Էյնշտեյնիում	アインスタイニウム
Բոլոնիա (ֆուտբոլային ակումբ)	ボローニャFC
Ֆերմիում	フェルミウム
Կալյարի	カリャリ
Մենդելեևիում	メンデレビウム
Կիև	キエフ
Կալյարի ՖԱ	カリアリ・カルチョ
Նոբելիում	ノーベリウム
Կատանիա	カターニア
Օնտարիո (նահանգ)	オンタリオ州
Լոուրենսիում	ローレンシウム
Հուգո Լյորիս	ウーゴ・ロリス
Մաթյո Դեբյուշի	マテュー・ドゥビュシー
Ադիլ Ռամի	アディル・ラミ
Օլիվիե Ժիրու	オリヴィエ・ジルー
Կարիմ Բենզեմա	カリム・ベンゼマ
Ֆլորան Մալուդա	フローラン・マルダ
Կարելիայի Հանրապետություն	カレリア共和国
Պատրիս Էվրա	パトリス・エヴラ
Ֆիլիպ Մեքսես	フィリップ・メクセス
Ֆրանկ Ռիբերի	フランク・リベリー
Մաթյո Վալբուենա	マテュー・ヴァルブエナ
Սամիր Նասրի	サミル・ナスリ
Բլեյզ Մատուիդի	ブレーズ・マテュイディ
Ժերեմի Մենեզ	ジェレミー・メネス
Օտտավա	オタワ
Աբու Դիաբի	アブー・ディアビ
Յուպիտերի արբանյակներ	木星の衛星と環
Մանիտոբա (նահանգ)	マニトバ州
Ալբերտա	アルバータ州
Նոր Շոտլանդիա	ノバスコシア州
Երևան	エレバン
Վոլոգդա	ヴォログダ
Քոնսքօուօլա	コィンスコヴォラ
Խարթում	ハルツーム
Նյու Բրանսուիկ	ニューブランズウィック州
Ֆորմուլա 1	フォーミュラ1
Սատուրնի արբանյակներ	土星の衛星と環
Բրիտանական Կոլումբիա	ブリティッシュコロンビア州
Էդուարդ արքայազնի կղզի	プリンスエドワードアイランド州
Ստադ դե Ժերլան	スタッド・ジェルラン
2000	2000年
2003	2003年
2002	2002年
2001	2001年
Սասկաչևան (նահանգ)	サスカチュワン州
2012	2012年
Մասաշի Քիշիմոտո	岸本斉史
2011	2011年
2010	2010年
2009	2009年
Ածխաթթու գազ	二酸化炭素
2013	2013年
2014	2014年
2015	2015年
Նյուֆաունդլենդ և Լաբրադոր	ニューファンドランド・ラブラドール州
