აფრიკა	アフリカ
ბიჰარი	ビハール州
მიჩიგანის შტატი	ミシガン州
ჩატისგარჰი	チャッティースガル州
მიჩიგანის ტბა	ミシガン湖
გოა (შტატი)	ゴア州
ბურგუნდია	ブルゴーニュ地域圏
ჰარიანა	ハリヤーナー州
ჰიმაჩალ-პრადეში	ヒマーチャル・プラデーシュ州
მორის რაველი	モーリス・ラヴェル
აკვიტანია	アキテーヌ地域圏
ჯამუ და ქაშმირი	ジャンムー・カシミール州
პუერტო-რიკო	プエルトリコ
ჯარხანდი	ジャールカンド州
კარნატაკა	カルナータカ州
კერალა	ケーララ州
მადჰია-პრადეში	マディヤ・プラデーシュ州
უსაინ ბოლტი	ウサイン・ボルト
ლიმუზენი	リムーザン地域圏
მაჰარაშტრა	マハーラーシュトラ州
ჟან ბატისტ ლული	ジャン＝バティスト・リュリ
მანიპური	マニプル州
შლეზვიგ-ჰოლშტაინი	シュレースヴィヒ＝ホルシュタイン州
მეგჰალაია	メーガーラヤ州
მეკლენბურგ-წინა პომერანია	メクレンブルク＝フォアポンメルン州
ქვემო საქსონია	ニーダーザクセン州
ჩრდილოეთი რაინ-ვესტფალია	ノルトライン＝ヴェストファーレン州
ჰესენი	ヘッセン州
რაინლანდ-პფალცი	ラインラント＝プファルツ州
ზაარლანდი	ザールラント州
საქსონია	ザクセン州
ჯონ ლენონი	ジョン・レノン
ილინოისი	イリノイ州
თიურინგია	テューリンゲン州
საქსონია-ანჰალტი	ザクセン＝アンハルト州
ჩრდილოეთი დაკოტა	ノースダコタ州
ბრანდენბურგი (მხარე)	ブランデンブルク州
ბრემენი (მხარე)	ブレーメン州
ლომბარდია	ロンバルディア州
სამხრეთი დაკოტა	サウスダコタ州
მონტანა	モンタナ州
უაიომინგი	ワイオミング州
პიემონტი	ピエモンテ州
იერუსალიმი	エルサレム
ჯორჯო ნაპოლიტანო	ジョルジョ・ナポリターノ
აიდაჰო	アイダホ州
ვალე-დ’აოსტა	ヴァッレ・ダオスタ州
ვაშინგტონის შტატი	ワシントン州
კარლო აძელიო ჩამპი	カルロ・アツェリオ・チャンピ
ბრიუს სპრინგსტინი	ブルース・スプリングスティーン
ნევადა	ネバダ州
ოსკარ ლუიჯი სკალფარო	オスカル・ルイージ・スカルファロ
დონი (მდინარე)	ドン川
ფრანჩესკო კოსიგა	フランチェスコ・コッシガ
ალესანდრო პერტინი	アレッサンドロ・ペルティーニ
ჯოვანი ლეონე	ジョヴァンニ・レオーネ
ტრენტინო-ალტო-ადიჯე	トレンティーノ＝アルト・アディジェ州
ჯუზეპე სარაგატი	ジュゼッペ・サーラガト
ინდოეთის ოკეანე	インド洋
ანტონიო სენი	アントニオ・セーニ
ჯოვანი გრონკი	ジョヴァンニ・グロンキ
ლუიჯი ეინაუდი	ルイージ・エイナウディ
ვენეტო	ヴェネト州
ენრიკო დე ნიკოლა	エンリコ・デ・ニコラ
კოსოვო	コソボ
კარიბის ზღვა	カリブ海
მონტე-ვიზო	モンテ・ヴィーゾ
ფრიული-ვენეცია-ჯულია	フリウリ＝ヴェネツィア・ジュリア州
პან გი მუნი	潘基文
კოფი ანანი	コフィー・アナン
ლიგურია	リグーリア州
ბუტროს ბუტროს-გალი	ブトロス・ブトロス＝ガーリ
ხავიერ პერეს დე კუელიარი	ハビエル・ペレス・デ・クエヤル
კურტ ვალდჰაიმი	クルト・ヴァルトハイム
კოლორადოს შტატი	コロラド州
გრაის ალპები	グライエアルプス山脈
ემილია-რომანია	エミリア＝ロマーニャ州
უ ტანი	ウ・タント
კოლორადო	コロラド川
დაგ ჰამარშელდი	ダグ・ハマーショルド
ფრიდერიკ შოპენი	フレデリック・ショパン
მურაბა	ジャム
პენინის ალპები	ペンニネアルプス山脈
ტრიუგვე ლი	トリグブ・リー
ტოსკანა	トスカーナ州
ლეონარდ კოენი	レナード・コーエン
მარკე	マルケ州
უმბრია	ウンブリア州
კატეგორია:ძირითადი კატეგორიები	Category:主要カテゴリ
