ཨ་ཧྥེ་རི་ཁ།	アフリカ
ཨོ་འ་ག་དོའུ་གོའུ།	ワガドゥグー
ཕིརི་ཊའུན།	フリータウン
ཡ་མ་སོན་གཙང་པོ།	アマゾン川
ཨ་པུ་ཅ།	アブジャ
ལཱོ་མེ།	ロメ
པོར་ཊོ་-ནོ་བོ།	ポルトノボ
ཨམ་མན།	アンマン
ཡོན་དྷི།	ヤウンデ
མ་ལ་བོ།	マラボ
པེ་རུ་ཐེ།	ベイルート
ལིབ་རེ་ཝིལ།	リーブルヴィル
མི་སི་ཁ་ཁྲི།	マスカット
བང་གུའི།	バンギ
ཀིན་ཤ་ས།	キンシャサ
བ་ར་ཛ་བི་ལི།	ブラザヴィル
བུ་ཇུམ་བུ་ར།	ブジュンブラ
ནེ་ཁོ་ཤི་ཡ།	ニコシア
ཀི་ག་ལི།	キガリ
དྷོ་ཧ།	ドーハ
ནའི་རོ་བི།	ナイロビ
ལི་ལོང་ཀུའེ།	リロングウェ
ལུ་ས་ཀ།	ルサカ
མ་ན་མ།	マナーマ
མ་པུ་ཊོ།	マプト
ཀམ་པ་ལ།	カンパラ
ལའུན་ཌ།	ルアンダ
མོ་རོ་ནི། (ཁོ་མོ་རོ་སུ།)	モロニ
མ་པ་པན།	ムババーネ
མ་སི་རུ།	マセル
སློབ་གྲྭ།	学校
ཨེན་ཊ་ན་ན་རི་བོ།	アンタナナリボ
སློབ་གྲྭ་ཆེན་མོ།	大学
ག་བོ་རོ་ནི།	ハボローネ
ཧ་ར་རི།	ハラレ
ཕི་རི་ཐོ་རི་ཡ།	プレトリア
ལོ་ཡི་སི་གྲུ་ཁ།	ポートルイス
ཕིན་ཕང་སྤོ་ལོ།	卓球
སའོ་ཊོ་མེ།	サントメ
ཝིན་ཌི་ཧོཡིཀ།	ウィントフック
Wikipedia:Sandbox	Wikipedia:サンドボックス
ཝིག་ཐོ་རི་ཡ། (སེ་ཞེལ།)	ヴィクトリア (セーシェル)
ནང་།	家屋
ཉི་ཕུའུ་ཏུན།	ネプトゥーヌス
གྲོང་རྡལ།	街
ཆུ་རྒྱུན།	川
གཟི་རྩ་སྡེ་དགུ་	九寨溝
གི་ཉོལ།	ギニョール
ཝུའུ་ལིན་ཡོན།	武陵源
ལུ་ཛེར་ན།	ルツェルン
Category:ཉི་ཧུང་གི་ལོ་རྒྱུས།	Category:日本の歴史
ཨེ་མི་ལིས་ཏིས་ཁེན་སིན།	エミリー・ディキンソン
ཁུང་ཙི།	孔子
Category:རྩིས་རིག	Category:数学
Category:རྒྱ་གར་གི་ལོ་རྒྱུས།	Category:インドの歴史
ཀྲུའུ་པི་ཐེ།	ユーピテル
ཏི་ཀྲུང་ཧའེ་རྒྱ་མཚོ།	地中海
ཧང་ཀྲོའུ།	杭州市
ཡེ་ཤུའི་ཆོས་ལུགས།	キリスト教
པེར་ལིན་ལྕགས་རི།	ベルリンの壁
གླང་ཆེན་ཁ་བབས།	ガンジス川
འབྲས།	米
བྷལ་ཏྲི་མོར།	ボルチモア
བྱ།	鳥類
པོ་ཅུ་གྷལ་གྱི་སྐད།	ポルトガル語
ཟླ།	月 (暦)
ཉི་ཧོང་སྐད།	日本語
གཙོ་ངོས།	メインページ
Cpu	CPU
དེ་སྦེལ།	デシベル
འབྲི་ཆུ	長江
སེ་པོ་རི་ཡ།	シベリア
ཧྥུ་རོན་སི་སི་ཀོ་ཀོའོ་ཡ།	フランシスコ・デ・ゴヤ
ཧི་མ་ལ་ཡ	ヒマラヤ山脈
མཚོ་མོ་ཝེ་ཁེ་ཐོ་རི་ཡ།	ヴィクトリア湖
པེ་གལ་མཚེའུ།	バイカル湖
སལ་ཝ་ཌོར་དཱ་ལི།	サルバドール・ダリ
ཝི་ཏོ་རེ་ཁར་པ་ཅིའོ།	ヴィットーレ・カルパッチョ
ཝིན་སན་ཝན་ཀའོ།	フィンセント・ファン・ゴッホ
ཧོ་ཀུ་སའི།	葛飾北斎
ཧྥ་རིས་ད་ཀ་ལོ།	フリーダ・カーロ
མེ་ཀེ་ལན་ཇུ་ལོ།	ミケランジェロ・ブオナローティ
པ་བུ་ལོ་པི་ཀ་སོ།	パブロ・ピカソ
ཨན་ཏོ་ནེལ་ལོ་ད་མེ་སི་ན།	アントネロ・ダ・メッシーナ
ར་ཧྥ་ཨེལ་ལོ་སན་ཛིའོ།	ラファエロ・サンティ
ཧྥ་ར་ཨན་ཇེ་ལི་ཁོ།	フラ・アンジェリコ
སན་ཌོ་པའོ་ཊི་ཅེ་ལི།	サンドロ・ボッティチェッリ
མ་ཏི་སུའོ་བ་ཤོ།	松尾芭蕉
པི་ཨེར་ཇོ་སེ་ཧྥེ་པུ་རུ་དོང་།	ピエール・ジョゼフ・プルードン
མ་ཁ།	メッカ
མྰ་སྰ་ཅིའོ།	マサッチオ
མའོ་ཙེ་ཏུང་།	毛沢東
ཤེ་ཨན།	西安市
པེ་རུ་ཇི་ནོ།	ペルジーノ
ཇང་ལུག་མེ་ལང་ཅོང་།	ジャン＝リュック・メランション
ཁ་པུལ།	カーブル
ལྷ་ས།	ラサ市
ཆགས་སྦྱོར་བྱེད་པ།	性行為
ཆགས་པ་མཐོ་རུ་འཕེལ་བ།	オーガズム
མཚན་ཉིད་རིག་པ།	哲学
Category:Candidates for speedy deletion	Category:即時削除対象のページ
རྣོ་སྦྲེང་།	ピアノ
ཇ།	茶
མཱར་ཁོ་ཕོ་ལོ།	マルコ・ポーロ
གཞུང་མེད་ལམ་སྲོལ།	アナキズム
ཧྥ་ཤི་སིའི་རིང་ལུགས།	ファシズム
མི་རིགས་རིང་ལུགས།	ナショナリズム
ནུབ་ས་ཧ་ར།	西サハラ
ཅ་ཐའེ་ཅི།	カルタゴ
ཨ་ཝི་ཉོང་།	アヴィニョン
Category:གཟའ་སྐར་རིག་པ།	Category:天文学
ཏ་ཏ་ནེར་མཚོ་འགག	ダーダネルス海峡
གདང་ཡ་ཙེ།	ドナルドダック
ས་ཧ་ར་བྱེ་ཐང་ཆེན་པོ།	サハラ砂漠
སི་ཐི་རཱ་སི་བུར།	ストラスブール
རྒྱུད་དྲུག	ギター
མཚན་མཐུན་དགའ་རོགས་སྒྲིག་པ།	同性愛
ཧོ་མུར།	ホメーロス
དི་ཇཱོན།	ディジョン
ལུ་ག་ནོ།	ルガーノ
སངས་རྒྱས། (ཐ་སྙད།)	仏陀
ལྷ་མེད་སྨྲ་བ་པོ།	無神論
ལི་པའེ།	李白
དཔེ་མཛོད་ཁང་།	図書館
ཁོ་སི་མོ་ཏུ་ར།	コズメ・トゥーラ
ཆབ་སྲིད་ཀྱི།	政治
ཆིན་རྒྱལ་རབས།	秦朝
ཆིན་ཧྲི་ཧོང་།	始皇帝
ཨོ་བི་རྡི།	オウィディウス
ཧན་རྒྱལ་རབས།	漢
ལིའུ་པང་།	劉邦
ཧན་ཝུའུ་ཏི།	武帝 (漢)
ཐོར་སི་ཐའེ།	レフ・トルストイ
མར་ཁེ་སེ་རིང་ལུགས།	マルクス主義
ཧན་གྱི་བརྒྱད་པ་གླེའུ་གོང་བུ་	光武帝
རྒྱལ་སྲིད།	君主制
འཁྲབ་སྒྲགས།	プロパガンダ
བྱ་སྒྲོ་སྤོ་ལོ།	バドミントン
རི་བོ་ཆི་ལི་མ་ཀྲ་ལུའོ།	キリマンジャロ
ཁ་སྐྱེལ་པ།	接吻
ཡོན་རྒྱལ་རབས།	元 (王朝)
ཁ་རི་སི་ཐོའོ་ཧྥུ་ཀོ་ལུན་སྤུ་སི།	クリストファー・コロンブス
སེང་གེ་ཁ་འབབ	インダス川
ཅིན་རྒྱལ་རབས།	晋 (王朝)
རྨ་ཆུ།	黄河
སྣ།	鼻
མིག	目
ལུག	ヒツジ
མཚོ་ཕག	イルカ
གཏུམ་ཉ།	サメ
རྔ་མོང་།	ラクダ
འུ་འཐུང་སྲོག་ཆགས།	哺乳類
གླང་ཆེན།	ゾウ
འབུ་གྲོག་མ།	アリ
མར་ག་རེ་ཐ་ཁྲ་ཆེའར།	マーガレット・サッチャー
སུང་ཐའེ་ཙུའུ།	趙匡胤
མེ་ཚལ་དཀར་པོ།	カリフラワー
རྡོ་ལུ་མ།	ナス
བྱ་གག	カモ科
ཨ་མ།	母親
ཨ་ཕ།	父親
ཕྲུ་གུ	子供
ཇང་མར་ཀི་ཨེ་རོ།	ジャン＝マルク・エロー
ཨུ་རུ་སུའི་སྐད།	ロシア語
ཁྲིམས།	法 (法学)
ཡོ་རོབ་གི་ལོ་རྒྱུས།	ヨーロッパ史
ཧོའོ་མར་སིམ་བུ་སན།	ホーマー・シンプソン
༄༅༎ ཡོངས་ཁྱབ་གསལ་བསྒྲགས་འགྲོ་བ་མིའི་ཐོབ་ཐང༌།	世界人権宣言
ཆའོ་ཐོ།	ジョット・ディ・ボンドーネ
ཨན་ནི་བ་ལེ་ཁས་ར་ཅི།	アンニーバレ・カラッチ
རྒྱ་སྐད།	中国語
ཁྲག	血液
ཊོའུ་ལོའུ་སེ།	トゥールーズ
ཆར་པ།	雨
ཟེན།	禅
རང་བྱུང་གི་ཚན་རིག	自然科学
འགྲིམ་འགྲུལ་བརྡ་སྒྲོན།	信号機
འཕྲེད་བརྒལ་ལམ།	横断歩道
ཝིན་སུ་ཏོན་ཆུར་ཆེལ།	ウィンストン・チャーチル
སན་ཏོ་ཨོའོ་ཀོའོ་སེ་ཐིང་།	アウグスティヌス
ནེལ་སོན་མཱན་ཌེ་ལ།	ネルソン・マンデラ
མར་ཏིན་ལུ་ཏར་ཁིན།	マーティン・ルーサー・キング・ジュニア
མེ་རི།	火山
སྤྲིན།	雲
དབྱིབས་རྩིས་རིག་པ།	幾何学
བརྡ་སྤྲོད་ཀྱི་གཞུང་།	文法
རླུང་།	風
དཔལ་འབྱོར་རིག་པ།	経済学
སྐད་བརྡ་རིག་པ།	言語学
སྒྲ་ཚན།	音素
ཀེ་རི་སིའི་དབྱངས་གསལ་རེའུ་མིག	ギリシア文字
Category:པུ་ར་ག་རི་ཡ།	Category:ブルガリア
རྩོམ་རིག་ཡི་གེའི་རིག་པ།	文学
Category:ཧྥ་རན་སི།	Category:フランス
Category:རོལ་དབྱངས།	Category:音楽
Category:རྩོམ་རིག	Category:文学
ཁང་ཆེན་དམར་པོའི་རྨི་ལམ།	紅楼夢
མན་གྷ།	日本の漫画
ཨེ་ལི་ཡེ་ཏེ།	イーリアス
༼མ་ཧ་བ་ར་ཏ།༽	マハーバーラタ
ཝ་མོ།	キツネ
ཝ་དམར།	アカギツネ
འཁྱིལ་ཆུང་།	トランペット
ཨོག་ལེན།	ヴァイオリン
ཆགས་སྦྱོར་བྱེད་སྟངས་ཀྱི་ཐོ།	性交体位
ལག་གཡེམ།	オナニー
བཤང་སྒོའི་ཆགས་སྦྱོར།	アナルセックス
སློབ་གསོ།	教育
ཁྱིམ་ཚང་།	家族
ཕོ་གཞོན།	男性
ཆང་ས།	結婚
བྲན་གཡོག་རིང་ལུགས།	奴隷
དམག་དོན།	軍事
ཁོ་ཧྥེ།	コーヒー
སིལ་ཁུ།	ジュース
སུན་ཀྲུང་ཧྲན།	孫文
ཧོང་ཀོང་།	香港
ཀ་ར་ཆི	カラチ
རིའོ་ཌེ་ཇ་ནེའུ་རའོ།	リオデジャネイロ
སེ་ཨུལ།	ソウル特別市
ཧྲང་ཧའེ་གྲོང་ཁྱེར།	上海市
རིག་གནས་གསར་བརྗེ་ཆེན་པོ	文化大革命
ཆིང་རྒྱལ་རབས།	清
ཨར་ཁི་མེའུ་ཏེ་སི།	アルキメデス
ཡོའུ་ཁེ་ལེ་ཏེ།	エウクレイデス
ཨུཀ་རཡི་ནི་སྐད།	ウクライナ語
ནམ་ཆོམ་སི་ཀེ།	ノーム・チョムスキー
པུ་ཏིང་།	プディング
ཁཱར་ལ་མར་ཁེ་སི།	カール・マルクス
མོ་ཤི།	モーセ
ཧིན་ཏུའི་ཆོས་ལུགས།	ヒンドゥー教
ནུ་མ།	乳房
འོད་རིག་པ་	光
ཀེ་རི་སིའི་སྐད།	ギリシア語
ཐེ་ཇི་བང་སོ།	タージ・マハル
བྱ་ཁྱིའུ།	ペンギン
གློག་རྡུལ་འཕྲིན་སྒམ།	電子メール
ལྷ་གཅིག་ཆོས་ལུགས།	一神教
ལྷ་མང་ཆོས་ལུགས།	多神教
ཏ་ཟིག་གི་སྐད།	ペルシア語
ཆོས་ལུགས།	宗教
ཨབ་ར་ཧམ།	アブラハム
རོས་ནེ་དེ་ཁར་ཏེ།	ルネ・デカルト
རང་དབང་ལྷ་མོའི་འདྲ་བརྙན།	自由の女神像 (ニューヨーク)
ལུམ་བི་ནི་	ルンビニ
འབར་མའི་སྐད།	ビルマ語
གཅེར་བུ་བའི་ཆོས་ལུགས།	ジャイナ教
སོག་པོའི་སྐད།	モンゴル語
པཱ་ཁི།	バクー
ཡིའུ་ཐའེ་ཆོས་ལུགས།	ユダヤ教
ཐིམ་ཕུ།	ティンプー
སི་རི་པེ་ཀ་མཚོ་ཁུགས་གྲོང་ཁྱེར།	バンダルスリブガワン
དྷི་ལི།	ディリ
སིག་གི་ཆོས་ལུགས།	シク教
ཏིན་ཏོ་རེ་ཏོ།	ティントレット
ཝིན་ཆིའང་	ヴィエンチャン
ལོའོ་ཙེ།	老子
མ་ལེ།	マレ
ཡོ་ག	ヨーガ
པི་སི་ཁེག	ビシュケク
དུ་ཤང་པེ།	ドゥシャンベ
སི་མ་ཆན།	司馬遷
ལུད་ཝིག་ཝིཏ་གེན་སི་ཏེ་ཡིན།	ルートヴィヒ・ウィトゲンシュタイン
ཀྲུའུ་ཞི།	朱子
འདུ་ཤེས།	感情
སེམས་ཁམས་རིག་པ།	心理学
ཐོ་མཱ་སི་ཨ་ཁི་ཝི་ནཱ་སི།	トマス・アクィナス
ཕའོ་ལོ་ཝེ་རོ་ནེ་ཟེ།	パオロ・ヴェロネーゼ
བཅོམ་ལྡན་འདས།	釈迦
མུ་ཧ་མད།	ムハンマド・イブン＝アブドゥッラーフ
ནགས་བྱི།	リス
བྱ་མ་བྱི།	モモンガ
ཁུང་ཙིའི་གཞུང་ལུགས།	儒教
ཏོའོ་ཅོའོ་ཆོས་ལུགས།	道教
ཛོ་ར་སིའི་ཆོས་ལུགས།	ゾロアスター教
སྐེ།	首
ཁ།	口
བྲང་ཁོག	胸
ཐང་རྒྱལ་རབས།	唐
ཐང་ཀའོ་ཙུང་།	高宗 (唐)
གནའ་གཞུང་རོལ་དབྱངས།	クラシック音楽
ཝུའུ་ཙེ་ཐེན།	武則天
ཐང་ཞོན་ཙུང་།	玄宗 (唐)
ཨལ་ཧྥ།	Α
ཨོ་མེ་ག	Ω
མིའུ།	Μ
མིང་རྒྱལ་རབས།	明
ཀྲུའུ་ཡོན་ཀྲང་།	朱元璋
ཧྥའེ།	Φ
ཙོ་ལུའུའི་སྐད།	ズールー語
ཕའེ་ཐ་གྷོ་ར་ཟི།	ピタゴラス
ཕཱར་ཧྥེ་ནན།	パルテノン神殿
དབུལ་ཕོངས།	貧困
རྩ་རྫས་ཀྱི་དུས་འཁོར་རེའུ་མིག།	周期表
ཅོར་ཅི་ཐོན། (གུ་ཡ་ན།)	ジョージタウン (ガイアナ)
རང་ཤི་རྒྱབ་པ།	自殺
ཆགས་སྦྱོར་གྱི་མཁོ་ཆས།	性具
ཆགས་སྦྱོར་གྱི་ཨ་ལས་པད་གོག	ダッチワイフ
ཤིང་།	木
ལེམ་ད།	Λ
ཆུར་བ།	チーズ
རྒུནའབྲུམ།	ブドウ
ཞོ་ཁོག	ジャガイモ
སྲན་སེར།	ダイズ
འཕྲུལ་འཁོར།	機械
གཅུ་འཛེར།	ねじ
གསར་འགོད།	報道
ཚགས་པར།	新聞
རིག་གནས།	文化
ལེགས་སྦྱར་སྐད།	サンスクリット
སྨན།	医学
