អាហ្វ្រិក	アフリカ
ស៊ូស៊ី	寿司
រូប៊ិក ខ្យូប	ルービックキューブ
កាល	プラウトゥス
ចង្រិត	コオロギ
ទិវាពលកម្មអន្ដរជាតិ	メーデー
ស្ទឹង	渓流
សមុទ្រអង់ដាម៉ង់	アンダマン海
ប៉ិបស៊ី	ペプシコーラ
ក្រុមបាល់ទាត់ជម្រើសជាតិ អង់គ្លេស	サッカーイングランド代表
ក្រុមបាល់ទាត់ជម្រើសជាតិ បារាំង	サッカーフランス代表
ទំព័រគំរូ:Commonscat	Template:Commonscat
វិគីភីឌាភាសាអាល្លឺម៉ង់	ドイツ語版ウィキペディア
អាស៊ីខាងលិច	近東
យេនឌ័រ	性同一性
អង្គការសហភាពអន្តរជាតិដើម្បីអភិរក្សធម្មជាតិ	国際自然保護連合
ទីក្រុងមេឌេយីណ	メデジン
ប៉ារ៉ាបូល	放物線
ខេត្តអ៊ីវ៉ាតិ	岩手県
ទ្វារសមុទ្រមលក្កា	マラッカ海峡
មហាយាន	大乗仏教
ប្រព័ន្ធប្រតិបត្តការ iOS	IOS (アップル)
ចំនួនបឋម	素数
សង្គ្រាម ប្រាំមួយ ថ្ងៃ	第三次中東戦争
ក្រុងឡូវែល រដ្ឋម៉ាស្សាឈូស៊ែត	ローウェル (マサチューセッツ州)
សមុទ្រជ្វា	ジャワ海
សិប្បកម្មខ្ញុំ	Minecraft
ច្រកសមុទ្រធ្ងន់ធ្ងរ	ダイアー・ストレイツ
វីហ្សួលបេហ៊្សិក.ណេត	Microsoft Visual Basic .NET
បំណែងចែករដ្ឋបាលនៃកម្ពុជា	カンボジアの地方行政区画
អនុគមន៍ដឺក្រេទី២	二次関数
ច្បាប់អំពែរ	アンペールの法則
ជំងឺអ៊ីបូឡា	エボラ出血熱
ច្រកកូរ៉េ	対馬海峡
ឆកសមុទ្រកូរ៉េ	西朝鮮湾
កង្កែប	カエル
ខ្សែទឹកឃឹរ៉ុស៊ីអុ	黒潮
ចំណាត់ថ្នាក់ក្រុម:ព្រះមហាក្សត្រ	Category:君主
ចំណាត់ថ្នាក់ក្រុម:រដ្ឋាភិបាល	Category:政府
ទំព័រគំរូ:Infobox legislature	Template:議会
ទន្លេយ៉ាលូ	鴨緑江
ទំព័រគំរូ:ប្រវត្តិសាស្ត្រថៃ	Template:タイの歴史
ទំព័រគំរូ:ប្រវត្តិសាស្ត្រចិន	Template:中国の歴史
មីហ្គេល អ៊ីដាលហ្គោ អ៊ី កុស្ទីយ៉ា	ミゲル・イダルゴ
នរោត្តម សីហមុនី	ノロドム・シハモニ
ហ៊ុន សែន	フン・セン
តូក្យូស្កាយទ្រី	東京スカイツリー
ភាសាប៉ាស្តូ	パシュトー語
ធនាគារកណ្ដាល	中央銀行
Pidgin	Pidgin
​វិលហែម វុឌ	ヴィルヘルム・ヴント
យិដា តាដូ	ゲルダ・タロー
មនុស្សពីងពាង	スパイダーマン
សារធាតុគីមី	化学物質
ចលនានៅក្នុងរូបវិទ្យា	運動 (物理学)
ជម្ងឺកញ្ជ្រឹល	麻疹
ក្រុមបាល់ទាត់ជម្រើសជាតិ អាហ្សង់ទីន	サッカーアルゼンチン代表
ខ្យល់ព្រះអាទិត្យ	太陽風
បាល់ទាត់ពិភពលោក ២០១៤	2014 FIFAワールドカップ
ម៉ូបាល (អាល់ឡាបាម៉ា)	モービル (アラバマ州)
កុំព្យូទ័រផ្រូក្រាមមីង(Computer programming)	プログラミング (コンピュータ)
ខេត្តឈីបា	千葉県
អាំងតេក្រាល	積分法
ខេត្តអៃឈិ	愛知県
វិបត្តិសេដ្ឋកិច្ចឆ្នាំ ១៩៩៧	アジア通貨危機
ខ្មែរ	大人
សិល្បៈប្រើវោហារបង្ហូរគំនិត	修辞学
ឃីមីហ្គាយ៉ុ	君が代
សាល អូហ្គុស្ទីន ដឺ គូឡុំ	シャルル・ド・クーロン
ខេត្តអាគីតា	秋田県
ថ្នាក់ពាក្យ	品詞
ស្ថានភាពអភិរក្ស	保全状況
កាន់ជិ	日本における漢字
នាម	名前
ប្រវត្តិសាស្ត្រចិន	中国の歴史
អវតារ	アヴァターラ
ច្បាប់គូឡុំ	クーロンの法則
រឿង រ៉ូមេអូ និង ហ្ស៊ុយលីយេ	ロミオとジュリエット
សាលីណា កូមាស់	セレーナ・ゴメス
ក្រុម (តារាងខួបនៃធាតុគីមី)	元素の族
ក្រុមបាល់ទាត់ជម្រើសជាតិ ប្រេស៊ីល	サッカーブラジル代表
កាល ឡែមស្ដែនណឺ	カール・ラントシュタイナー
បាល់ប៉ូឡូញ	ポーランドボール
ឯកសារភាពយន្ត	ドキュメンタリー
អនុគមន៍ត្រីកោណមាត្រ	三角関数
ហ្រាន្ដកូស ហ្វីឡុន	フランソワ・フィヨン
ខួប (តារាងខួបនៃធាតុគីមី)	元素の周期
ល្បែងទាញព្រ័ត្រ	綱引き
Article (grammar)	冠詞
មេដ្យានទ័រ	コンパス
Rfid	RFID
អ៊ីប៉ូតេនុស	斜辺
ហិចហ្វាន់	ヘッジファンド
ISO 3166	ISO 3166
សញ្ញាជាតិកូរ៉េខាងជើង	朝鮮民主主義人民共和国の国章
មេហ្គា	メガ
គីឡូ	キロ
ការតាំងសមាធិ	瞑想
ប៉េតា	ペタ
យ៉ុតតា	ヨタ
សង់ទី	センチ
ហ្គីហ្គា	ギガ
តេរ៉ា	テラ
ហ្វង់តូ	フェムト
ហ្សិតតា	ゼタ
ច្រកតារតារី	間宮海峡
ហ្សិបតូ	ゼプト
កាតែត	隣辺
អាត់តូ	アト
យ៉ុកតូ	ヨクト
ដេស៊ី	デシ
ចំណែករដ្ឋបាលនៃម៉ិចស៊ិក	メキシコの州
ម៉ាស៊ីនស្វែងរក	メタ検索エンジン
អាំងតេក្រាលមិនកំនត់	不定積分
Shenyang J-15	J-15 (航空機)
គណបក្សហ៊្វុនស៊ិនប៉ិច	フンシンペック
ខេត្តក្យូតុ	京都府
តំលៃដាច់ខាត	絶対値
ហេដ្ឋារចនាសម្ព័ន្ធ	インフラストラクチャー
សាស្ត្រាចារ្យ	教授
តេគីឡា	テキーラ
សន្ធិសញ្ញាប្រេស្ត-លីតូវស្ក	ブレスト＝リトフスク条約
William Thomson, 1st Baron Kelvin	ウィリアム・トムソン
អាណាខេត្តអូសាកា	大阪府
ខេត្តអិហ៊ីមិ	愛媛県
វាំងននដែក	鉄のカーテン
Kara (band)	KARA
វីលៀម ជែម	ウィリアム・ジェームズ
ខេត្តយ៉ាម៉ាកាតា	山形県
ច្រកតៃវ៉ាន់	台湾海峡
គំរោងម៉ាន់ហាត់ថាន់	マンハッタン計画
ខេត្តយ៉ាម៉ាហ្គឹឈិ	山口県
ខេត្តខាន់ណាហ្គាវ៉ា	神奈川県
បញ្ចកោណ	五角形
តំបន់ជឺហ្គុកឹ	中国地方
ខេត្តណាហ្គាណុ	長野県
ខេត្តសៃតាម៉ា	埼玉県
ខេត្តមីអិ	三重県
ណុត	ノット
តំបន់តុហុកកឹ	東北地方
ខេត្តហ្គឺនម៉ា	群馬県
ជ្រូកទឹក	ジュゴン
ខ្សែទឹកមហាសមុទ្រ	海流
ខេត្តមីយ៉ាសាគី	宮崎県
ខេត្តឃឹម៉ាម៉ុតុ	熊本県
Mikoyan MiG-29	MiG-29 (航空機)
សប្ដាហ៏ពិសិដ្ឋ	受難週
ឈូងសមុទ្រថៃ	タイランド湾
អ៊ីមម៉ាជីន និងផូស៊ី	IMMAGINE&POESIA
លី ក្វាន់យូ	リー・クアンユー
កម្មសិទ្ធិបញ្ញា	知的財産権
អាណាខេត្តណារ៉ា	奈良県
បុព្វបទនៅក្នុងប្រព័ន្ធខ្នាតអន្តរជាតិ	SI接頭辞
យន្តហោះប៉ូឡូញកំទេចឆ្នាំ២០១០	ポーランド空軍Tu-154墜落事故
ជនភៀសខ្លួន	難民
ហង់រី កាវិនឌីស	ヘンリー・キャヴェンディッシュ
បុណ្យចូលឆ្នាំចិន	春節
ថេរវាទ	上座部仏教
តំបន់ខាន់តូ	関東地方
ខេត្តនីហ្គាតាក់	新潟県
ខេត្តយ៉ាម៉ាណាស៊ី	山梨県
ខេត្តស៊ីម៉ាណិ	島根県
ខេត្តតុយ៉ាម៉ា	富山県
ខេត្តអូកាយ៉ាម៉ា	岡山県
ISO 3166-2	ISO 3166-2
ខេត្តអយតាក់	大分県
ខេត្តខូឈិ	高知県
អង្គការអន្តរជាតិនៃនយោបាយរបស់បារាំង	フランコフォニー国際機関
ភ្នំមេរ៉ាពី	ムラピ山
តំបន់ឈឺប៊ឹ	中部地方
វ៉ាក់សាំង	ワクチン
រោគក្អកមាន់	百日咳
គន្ថនិទ្ទេស	書誌学
អាហារខ្មែរ	カンボジア料理
គីមឈី	キムチ
ខេត្តកំពង់ចាម	コンポンチャム州
ខ្សែទឹកហ្គ្រីនលែនខាងកើត	東グリーンランド海流
ខ្សែទឹកប៉ាស៊ីហ្វិកខាងជើង	北太平洋海流
ខ្សែទឹកហាំបុល	ペルー海流
ខ្សែទឹកអូស្ត្រាលីខាងកើត	東オーストラリア海流
ជ័រទឹក	天然樹脂
ដុនបូស្កូ	ヨハネ・ボスコ
ធ្នូរង្វង់	弧 (幾何学)
អប្សរា	アプサラス
ស្រុក	ディストリクト
រាជវង្សចោឡា	チョーラ朝
ខ្លារខិន ២ (រថក្រោះ)	レオパルト2
មហាអំណាច កណ្ដាល	中央同盟国
អិចសា	エクサ
ហិកតូ	ヘクト
ដេកា	デカ
រ៉ូបឺតកាប៉ា	ロバート・キャパ
មីល្លី	ミリ
មីក្រូ	マイクロ
ពីកូ	ピコ
ណាណូ	ナノ
លីប៉ូល ស៊ីដាស៊ាងហ័រ	レオポール・セダール・サンゴール
វិគីភីឌាភាសាឥណ្ឌូនេស៊ី	インドネシア語版ウィキペディア
ទន្ដគោម	リュウゼツラン
ប្រវតិ្តBoney M	ボニーM
វីមេអូ	Vimeo
អំពើអនិត្យានុកូល	ドメスティックバイオレンス
ហង់រី ការចេរ ប្រេស្សុង	アンリ・カルティエ＝ブレッソン
ត្រីកោណសម័ង្ស	正三角形
ម៉ាក់ណូលា	モクレン属
ចូសេហ្វ ហិនរី	ジョセフ・ヘンリー
ពិធីបញ្ជាប់ពាក្យ	婚約
ត្រីកោណកែង	直角三角形
សមុទ្រហ្វីលីពីន	フィリピン海
ប្រព័ន្ធកូអ័រដោណេភូមិសាស្ត្រ	地政学
Eurocopter Tiger	ティーガー (航空機)
តេត្រាអែត	三角錐
សឺន សាន	ソン・サン
ម៉ោងផែនដី	アース・アワー
នរោត្ដម សីហនុ	ノロドム・シハヌーク
ទន្លេរីយ៉ូហ្គ្រែនដេ	リオ・グランデ川
កម្មវិធីអភិវឌ្ឍន៍សហប្រជាជាតិ	国際連合開発計画
ម៉ាស៊ីនថត លេកា	ライカ
សេវាសាធារណៈ	公共サービス
