Aphrika	アフリカ
Arika Parinaqutapas suyu	アリカ・イ・パリナコータ州
Tarapaka suyu	タラパカ州
Antofagasta suyu	アントファガスタ州
Atakama suyu	アタカマ州
Kukimpu suyu	コキンボ州
Regina (Saskatchewan)	レジャイナ
Valéry Giscard d'Estaing	ヴァレリー・ジスカール・デスタン
Charlottetown	シャーロットタウン
Santiago suyu	首都州 (チリ)
Victoria (British Columbia)	ビクトリア (ブリティッシュコロンビア州)
O'Higgins suyu	リベルタドール・ベルナルド・オイギンス州
Winnipeg	ウィニペグ
Fredericton	フレデリクトン
Halifax (Nova Scotia)	ハリファックス
Quebec llaqta	ケベック・シティー
1 ñiqin qhulla puquy killapi	1月1日
2 ñiqin qhulla puquy killapi	1月2日
1920	1920年
3 ñiqin qhulla puquy killapi	1月3日
1919	1919年
1921	1921年
1922	1922年
Mawlli suyu	マウレ州
4 ñiqin qhulla puquy killapi	1月4日
1923	1923年
Biyubiyu suyu	ビオビオ州
1924	1924年
Arawkaniya suyu	ラ・アラウカニア州
Mayukuna suyu	ロス・リオス州
Quchakuna suyu	ロス・ラゴス州
Aisén suyu	アイセン・デル・ヘネラル・カルロス・イバニェス・デル・カンポ州
Georges Pompidou	ジョルジュ・ポンピドゥー
Magallanes Antartika suyu	マガジャネス・イ・デ・ラ・アンタルティカ・チレーナ州
Sit'i pachahina	準惑星
5 ñiqin qhulla puquy killapi	1月5日
Arika	アリカ (チリ)
6 ñiqin qhulla puquy killapi	1月6日
Iliktrun	電子
7 ñiqin qhulla puquy killapi	1月7日
8 ñiqin qhulla puquy killapi	1月8日
Velikiy Novgorod	ノヴゴロド
9 ñiqin qhulla puquy killapi	1月9日
10 ñiqin qhulla puquy killapi	1月10日
11 ñiqin qhulla puquy killapi	1月11日
12 ñiqin qhulla puquy killapi	1月12日
13 ñiqin qhulla puquy killapi	1月13日
Birmingham	バーミンガム
14 ñiqin qhulla puquy killapi	1月14日
15 ñiqin qhulla puquy killapi	1月15日
16 ñiqin qhulla puquy killapi	1月16日
17 ñiqin qhulla puquy killapi	1月17日
18 ñiqin qhulla puquy killapi	1月18日
19 ñiqin qhulla puquy killapi	1月19日
20 ñiqin qhulla puquy killapi	1月20日
21 ñiqin qhulla puquy killapi	1月21日
22 ñiqin qhulla puquy killapi	1月22日
23 ñiqin qhulla puquy killapi	1月23日
Rumaki qhapaq llaqta	ローマ帝国
24 ñiqin qhulla puquy killapi	1月24日
25 ñiqin qhulla puquy killapi	1月25日
Minsk	ミンスク
26 ñiqin qhulla puquy killapi	1月26日
Microsoft	マイクロソフト
27 ñiqin qhulla puquy killapi	1月27日
28 ñiqin qhulla puquy killapi	1月28日
29 ñiqin qhulla puquy killapi	1月29日
30 ñiqin qhulla puquy killapi	1月30日
31 ñiqin qhulla puquy killapi	1月31日
Prutun	陽子
2 ñiqin qhapaq raymi killapi	12月2日
1 ñiqin qhapaq raymi killapi	12月1日
3 ñiqin qhapaq raymi killapi	12月3日
7 ñiqin qhapaq raymi killapi	12月7日
5 ñiqin qhapaq raymi killapi	12月5日
8 ñiqin qhapaq raymi killapi	12月8日
10 ñiqin qhapaq raymi killapi	12月10日
6 ñiqin qhapaq raymi killapi	12月6日
9 ñiqin qhapaq raymi killapi	12月9日
Pink Floyd	ピンク・フロイド
4 ñiqin qhapaq raymi killapi	12月4日
1 ñiqin hatun puquy killapi	2月1日
2 ñiqin hatun puquy killapi	2月2日
Yanuna kachi	塩化ナトリウム
3 ñiqin hatun puquy killapi	2月3日
Kurów	クルフ
4 ñiqin hatun puquy killapi	2月4日
5 ñiqin hatun puquy killapi	2月5日
6 ñiqin hatun puquy killapi	2月6日
7 ñiqin hatun puquy killapi	2月7日
8 ñiqin hatun puquy killapi	2月8日
9 ñiqin hatun puquy killapi	2月9日
10 ñiqin hatun puquy killapi	2月10日
Chaqllisinchi	化学
14 ñiqin hatun puquy killapi	2月14日
13 ñiqin hatun puquy killapi	2月13日
15 ñiqin hatun puquy killapi	2月15日
11 ñiqin hatun puquy killapi	2月11日
12 ñiqin hatun puquy killapi	2月12日
Robin van Persie	ロビン・ファン・ペルシ
19 ñiqin hatun puquy killapi	2月19日
17 ñiqin hatun puquy killapi	2月17日
16 ñiqin hatun puquy killapi	2月16日
18 ñiqin hatun puquy killapi	2月18日
20 ñiqin hatun puquy killapi	2月20日
Niwtrun	中性子
21 ñiqin hatun puquy killapi	2月21日
22 ñiqin hatun puquy killapi	2月22日
23 ñiqin hatun puquy killapi	2月23日
24 ñiqin hatun puquy killapi	2月24日
25 ñiqin hatun puquy killapi	2月25日
26 ñiqin hatun puquy killapi	2月26日
27	27年
27 ñiqin hatun puquy killapi	2月27日
28 ñiqin hatun puquy killapi	2月28日
11 ñiqin qhapaq raymi killapi	12月11日
29 ñiqin hatun puquy killapi	2月29日
12 ñiqin qhapaq raymi killapi	12月12日
13 ñiqin qhapaq raymi killapi	12月13日
14 ñiqin qhapaq raymi killapi	12月14日
15 ñiqin qhapaq raymi killapi	12月15日
2 ñiqin pawqar waray killapi	3月2日
3 ñiqin pawqar waray killapi	3月3日
5 ñiqin pawqar waray killapi	3月5日
1 ñiqin pawqar waray killapi	3月1日
7 ñiqin pawqar waray killapi	3月7日
8 ñiqin pawqar waray killapi	3月8日
4 ñiqin pawqar waray killapi	3月4日
10 ñiqin pawqar waray killapi	3月10日
11 ñiqin pawqar waray killapi	3月11日
6 ñiqin pawqar waray killapi	3月6日
13 ñiqin pawqar waray killapi	3月13日
9 ñiqin pawqar waray killapi	3月9日
12 ñiqin pawqar waray killapi	3月12日
15 ñiqin pawqar waray killapi	3月15日
14 ñiqin pawqar waray killapi	3月14日
16 ñiqin qhapaq raymi killapi	12月16日
17 ñiqin qhapaq raymi killapi	12月17日
16 ñiqin pawqar waray killapi	3月16日
17 ñiqin pawqar waray killapi	3月17日
18 ñiqin pawqar waray killapi	3月18日
Jaroslavl	ヤロスラヴリ
19 ñiqin pawqar waray killapi	3月19日
1989	1989年
1988	1988年
20 ñiqin pawqar waray killapi	3月20日
1987	1987年
1986	1986年
1985	1985年
1984	1984年
21 ñiqin pawqar waray killapi	3月21日
1983	1983年
22 ñiqin pawqar waray killapi	3月22日
1982	1982年
1981	1981年
18 ñiqin qhapaq raymi killapi	12月18日
1980	1980年
23 ñiqin pawqar waray killapi	3月23日
Mugadishu	モガディシュ
19 ñiqin qhapaq raymi killapi	12月19日
24 ñiqin pawqar waray killapi	3月24日
25 ñiqin pawqar waray killapi	3月25日
20 ñiqin qhapaq raymi killapi	12月20日
26 ñiqin pawqar waray killapi	3月26日
27 ñiqin pawqar waray killapi	3月27日
28 ñiqin pawqar waray killapi	3月28日
29 ñiqin pawqar waray killapi	3月29日
30 ñiqin pawqar waray killapi	3月30日
31 ñiqin pawqar waray killapi	3月31日
Nassau	ナッソー
1970	1970年
1971	1971年
1972	1972年
1973	1973年
1974	1974年
1975	1975年
1976	1976年
1977	1977年
1978	1978年
1979	1979年
1969	1969年
Konrad Adenauer	コンラート・アデナウアー
Binidiktu XVI	ベネディクト16世 (ローマ教皇)
15 ñiqin ayriway killapi	4月15日
13 ñiqin ayriway killapi	4月13日
12 ñiqin ayriway killapi	4月12日
14 ñiqin ayriway killapi	4月14日
11 ñiqin ayriway killapi	4月11日
10 ñiqin ayriway killapi	4月10日
8 ñiqin ayriway killapi	4月8日
9 ñiqin ayriway killapi	4月9日
7 ñiqin ayriway killapi	4月7日
6 ñiqin ayriway killapi	4月6日
5 ñiqin ayriway killapi	4月5日
4 ñiqin ayriway killapi	4月4日
3 ñiqin ayriway killapi	4月3日
1 ñiqin ayriway killapi	4月1日
2 ñiqin ayriway killapi	4月2日
Willy Brandt	ヴィリー・ブラント
Helmut Schmidt	ヘルムート・シュミット
Helmut Kohl	ヘルムート・コール
16 ñiqin ayriway killapi	4月16日
17 ñiqin ayriway killapi	4月17日
18 ñiqin ayriway killapi	4月18日
19 ñiqin ayriway killapi	4月19日
20 ñiqin ayriway killapi	4月20日
21 ñiqin ayriway killapi	4月21日
22 ñiqin ayriway killapi	4月22日
23 ñiqin ayriway killapi	4月23日
24 ñiqin ayriway killapi	4月24日
Gerhard Schröder	ゲアハルト・シュレーダー
25 ñiqin ayriway killapi	4月25日
26 ñiqin ayriway killapi	4月26日
27 ñiqin ayriway killapi	4月27日
28 ñiqin ayriway killapi	4月28日
29 ñiqin ayriway killapi	4月29日
30 ñiqin ayriway killapi	4月30日
Killa Satiliti	衛星
Joachim Gauck	ヨアヒム・ガウク
Christian Wulff	クリスティアン・ヴルフ
Horst Köhler	ホルスト・ケーラー
1 ñiqin aymuray killapi	5月1日
2 ñiqin aymuray killapi	5月2日
3 ñiqin aymuray killapi	5月3日
4 ñiqin aymuray killapi	5月4日
5 ñiqin aymuray killapi	5月5日
6 ñiqin aymuray killapi	5月6日
7 ñiqin aymuray killapi	5月7日
8 ñiqin aymuray killapi	5月8日
9 ñiqin aymuray killapi	5月9日
10 ñiqin aymuray killapi	5月10日
11 ñiqin aymuray killapi	5月11日
12 ñiqin aymuray killapi	5月12日
13 ñiqin aymuray killapi	5月13日
14 ñiqin aymuray killapi	5月14日
15 ñiqin aymuray killapi	5月15日
16 ñiqin aymuray killapi	5月16日
17 ñiqin aymuray killapi	5月17日
18 ñiqin aymuray killapi	5月18日
19 ñiqin aymuray killapi	5月19日
20 ñiqin aymuray killapi	5月20日
21 ñiqin aymuray killapi	5月21日
22 ñiqin aymuray killapi	5月22日
23 ñiqin aymuray killapi	5月23日
24 ñiqin aymuray killapi	5月24日
25 ñiqin aymuray killapi	5月25日
26 ñiqin aymuray killapi	5月26日
27 ñiqin aymuray killapi	5月27日
28 ñiqin aymuray killapi	5月28日
29 ñiqin aymuray killapi	5月29日
30 ñiqin aymuray killapi	5月30日
31 ñiqin aymuray killapi	5月31日
Paul MacCartney	ポール・マッカートニー
21 ñiqin qhapaq raymi killapi	12月21日
Piyu XII	ピウス12世 (ローマ教皇)
Erich Honecker	エーリッヒ・ホーネッカー
SS Lazio	SSラツィオ
14 ñiqin inti raymi killapi	6月14日
15 ñiqin inti raymi killapi	6月15日
13 ñiqin inti raymi killapi	6月13日
10 ñiqin inti raymi killapi	6月10日
7 ñiqin inti raymi killapi	6月7日
11 ñiqin inti raymi killapi	6月11日
9 ñiqin inti raymi killapi	6月9日
12 ñiqin inti raymi killapi	6月12日
6 ñiqin inti raymi killapi	6月6日
8 ñiqin inti raymi killapi	6月8日
5 ñiqin inti raymi killapi	6月5日
3 ñiqin inti raymi killapi	6月3日
2 ñiqin inti raymi killapi	6月2日
1 ñiqin inti raymi killapi	6月1日
4 ñiqin inti raymi killapi	6月4日
Napoli	ナポリ
22 ñiqin qhapaq raymi killapi	12月22日
SSC Napoli	SSCナポリ
George Harrison	ジョージ・ハリスン
1968	1968年
Friedrich Ebert	フリードリヒ・エーベルト
1967	1967年
1966	1966年
1965	1965年
1964	1964年
16 ñiqin inti raymi killapi	6月16日
Palermo	パレルモ
30 ñiqin inti raymi killapi	6月30日
29 ñiqin inti raymi killapi	6月29日
28 ñiqin inti raymi killapi	6月28日
26 ñiqin inti raymi killapi	6月26日
25 ñiqin inti raymi killapi	6月25日
22 ñiqin inti raymi killapi	6月22日
27 ñiqin inti raymi killapi	6月27日
24 ñiqin inti raymi killapi	6月24日
20 ñiqin inti raymi killapi	6月20日
Paul von Hindenburg	パウル・フォン・ヒンデンブルク
23 ñiqin inti raymi killapi	6月23日
19 ñiqin inti raymi killapi	6月19日
18 ñiqin inti raymi killapi	6月18日
21 ñiqin inti raymi killapi	6月21日
17 ñiqin inti raymi killapi	6月17日
23 ñiqin qhapaq raymi killapi	12月23日
Wilhelm II	ヴィルヘルム2世 (ドイツ皇帝)
Parma	パルマ
Vladimir	ウラジーミル (ウラジーミル州)
15 ñiqin anta situwa killapi	7月15日
13 ñiqin anta situwa killapi	7月13日
12 ñiqin anta situwa killapi	7月12日
10 ñiqin anta situwa killapi	7月10日
9 ñiqin anta situwa killapi	7月9日
14 ñiqin anta situwa killapi	7月14日
8 ñiqin anta situwa killapi	7月8日
Parma FC	パルマFC
7 ñiqin anta situwa killapi	7月7日
6 ñiqin anta situwa killapi	7月6日
5 ñiqin anta situwa killapi	7月5日
2 ñiqin anta situwa killapi	7月2日
4 ñiqin anta situwa killapi	7月4日
3 ñiqin anta situwa killapi	7月3日
1 ñiqin anta situwa killapi	7月1日
11 ñiqin anta situwa killapi	7月11日
24 ñiqin qhapaq raymi killapi	12月24日
31 ñiqin anta situwa killapi	7月31日
30 ñiqin anta situwa killapi	7月30日
29 ñiqin anta situwa killapi	7月29日
28 ñiqin anta situwa killapi	7月28日
27 ñiqin anta situwa killapi	7月27日
25 ñiqin anta situwa killapi	7月25日
24 ñiqin anta situwa killapi	7月24日
23 ñiqin anta situwa killapi	7月23日
26 ñiqin anta situwa killapi	7月26日
22 ñiqin anta situwa killapi	7月22日
19 ñiqin anta situwa killapi	7月19日
21 ñiqin anta situwa killapi	7月21日
20 ñiqin anta situwa killapi	7月20日
17 ñiqin anta situwa killapi	7月17日
18 ñiqin anta situwa killapi	7月18日
16 ñiqin anta situwa killapi	7月16日
Piluta hayt'ay	サッカー
AS Roma	ASローマ
25 ñiqin qhapaq raymi killapi	12月25日
Siena	シエーナ
1963	1963年
Lech Kaczyński	レフ・カチンスキ
26 ñiqin qhapaq raymi killapi	12月26日
Ulukawstu	ホロコースト
1962	1962年
14 ñiqin chakra yapuy killapi	8月14日
15 ñiqin chakra yapuy killapi	8月15日
13 ñiqin chakra yapuy killapi	8月13日
12 ñiqin chakra yapuy killapi	8月12日
11 ñiqin chakra yapuy killapi	8月11日
10 ñiqin chakra yapuy killapi	8月10日
8 ñiqin chakra yapuy killapi	8月8日
7 ñiqin chakra yapuy killapi	8月7日
9 ñiqin chakra yapuy killapi	8月9日
5 ñiqin chakra yapuy killapi	8月5日
4 ñiqin chakra yapuy killapi	8月4日
2 ñiqin chakra yapuy killapi	8月2日
3 ñiqin chakra yapuy killapi	8月3日
6 ñiqin chakra yapuy killapi	8月6日
1 ñiqin chakra yapuy killapi	8月1日
Grimm wawqikuna	グリム兄弟
27 ñiqin qhapaq raymi killapi	12月27日
Madrid	マドリード
Elton John	エルトン・ジョン
16 ñiqin chakra yapuy killapi	8月16日
29 ñiqin chakra yapuy killapi	8月29日
28 ñiqin chakra yapuy killapi	8月28日
30 ñiqin chakra yapuy killapi	8月30日
25 ñiqin chakra yapuy killapi	8月25日
26 ñiqin chakra yapuy killapi	8月26日
23 ñiqin chakra yapuy killapi	8月23日
27 ñiqin chakra yapuy killapi	8月27日
21 ñiqin chakra yapuy killapi	8月21日
20 ñiqin chakra yapuy killapi	8月20日
24 ñiqin chakra yapuy killapi	8月24日
18 ñiqin chakra yapuy killapi	8月18日
17 ñiqin chakra yapuy killapi	8月17日
22 ñiqin chakra yapuy killapi	8月22日
19 ñiqin chakra yapuy killapi	8月19日
31 ñiqin chakra yapuy killapi	8月31日
Michael Jackson	マイケル・ジャクソン
28 ñiqin qhapaq raymi killapi	12月28日
Chhulli	インフルエンザ
Bogotá	ボゴタ
Brasilia	ブラジリア
15 ñiqin tarpuy killapi	9月15日
14 ñiqin tarpuy killapi	9月14日
13 ñiqin tarpuy killapi	9月13日
12 ñiqin tarpuy killapi	9月12日
8 ñiqin tarpuy killapi	9月8日
11 ñiqin tarpuy killapi	9月11日
7 ñiqin tarpuy killapi	9月7日
10 ñiqin tarpuy killapi	9月10日
5 ñiqin tarpuy killapi	9月5日
4 ñiqin tarpuy killapi	9月4日
9 ñiqin tarpuy killapi	9月9日
2 ñiqin tarpuy killapi	9月2日
6 ñiqin tarpuy killapi	9月6日
1 ñiqin tarpuy killapi	9月1日
3 ñiqin tarpuy killapi	9月3日
29 ñiqin qhapaq raymi killapi	12月29日
Aleksandr Lukașenko	アレクサンドル・ルカシェンコ
Limaq	リマ
30 ñiqin tarpuy killapi	9月30日
29 ñiqin tarpuy killapi	9月29日
28 ñiqin tarpuy killapi	9月28日
27 ñiqin tarpuy killapi	9月27日
26 ñiqin tarpuy killapi	9月26日
25 ñiqin tarpuy killapi	9月25日
Chili Santiyayu	サンティアゴ (チリ)
23 ñiqin tarpuy killapi	9月23日
22 ñiqin tarpuy killapi	9月22日
24 ñiqin tarpuy killapi	9月24日
21 ñiqin tarpuy killapi	9月21日
20 ñiqin tarpuy killapi	9月20日
18 ñiqin tarpuy killapi	9月18日
17 ñiqin tarpuy killapi	9月17日
19 ñiqin tarpuy killapi	9月19日
16 ñiqin tarpuy killapi	9月16日
Kitu	キト
30 ñiqin qhapaq raymi killapi	12月30日
Chuqichaka	スクレ (ボリビア)
Antoine de Saint-Exupéry	アントワーヌ・ド・サン＝テグジュペリ
31 ñiqin qhapaq raymi killapi	12月31日
1 ñiqin kantaray killapi	10月1日
15 ñiqin kantaray killapi	10月15日
12 ñiqin kantaray killapi	10月12日
10 ñiqin kantaray killapi	10月10日
14 ñiqin kantaray killapi	10月14日
9 ñiqin kantaray killapi	10月9日
8 ñiqin kantaray killapi	10月8日
13 ñiqin kantaray killapi	10月13日
7 ñiqin kantaray killapi	10月7日
11 ñiqin kantaray killapi	10月11日
6 ñiqin kantaray killapi	10月6日
4 ñiqin kantaray killapi	10月4日
5 ñiqin kantaray killapi	10月5日
3 ñiqin kantaray killapi	10月3日
2 ñiqin kantaray killapi	10月2日
Asunción	アスンシオン
Kawra	ヤギ
31 ñiqin kantaray killapi	10月31日
30 ñiqin kantaray killapi	10月30日
29 ñiqin kantaray killapi	10月29日
28 ñiqin kantaray killapi	10月28日
26 ñiqin kantaray killapi	10月26日
25 ñiqin kantaray killapi	10月25日
24 ñiqin kantaray killapi	10月24日
27 ñiqin kantaray killapi	10月27日
22 ñiqin kantaray killapi	10月22日
23 ñiqin kantaray killapi	10月23日
20 ñiqin kantaray killapi	10月20日
21 ñiqin kantaray killapi	10月21日
19 ñiqin kantaray killapi	10月19日
17 ñiqin kantaray killapi	10月17日
16 ñiqin kantaray killapi	10月16日
18 ñiqin kantaray killapi	10月18日
Heidelberg	ハイデルベルク
Darmstadt	ダルムシュタット
Kathidral	大聖堂
Qispi kay	自由
15 ñiqin ayamarq'a killapi	11月15日
14 ñiqin ayamarq'a killapi	11月14日
13 ñiqin ayamarq'a killapi	11月13日
12 ñiqin ayamarq'a killapi	11月12日
11 ñiqin ayamarq'a killapi	11月11日
10 ñiqin ayamarq'a killapi	11月10日
7 ñiqin ayamarq'a killapi	11月7日
8 ñiqin ayamarq'a killapi	11月8日
9 ñiqin ayamarq'a killapi	11月9日
6 ñiqin ayamarq'a killapi	11月6日
5 ñiqin ayamarq'a killapi	11月5日
4 ñiqin ayamarq'a killapi	11月4日
3 ñiqin ayamarq'a killapi	11月3日
2 ñiqin ayamarq'a killapi	11月2日
1 ñiqin ayamarq'a killapi	11月1日
Paramaribo	パラマリボ
30 ñiqin ayamarq'a killapi	11月30日
29 ñiqin ayamarq'a killapi	11月29日
28 ñiqin ayamarq'a killapi	11月28日
27 ñiqin ayamarq'a killapi	11月27日
26 ñiqin ayamarq'a killapi	11月26日
25 ñiqin ayamarq'a killapi	11月25日
23 ñiqin ayamarq'a killapi	11月23日
24 ñiqin ayamarq'a killapi	11月24日
21 ñiqin ayamarq'a killapi	11月21日
20 ñiqin ayamarq'a killapi	11月20日
22 ñiqin ayamarq'a killapi	11月22日
19 ñiqin ayamarq'a killapi	11月19日
18 ñiqin ayamarq'a killapi	11月18日
17 ñiqin ayamarq'a killapi	11月17日
16 ñiqin ayamarq'a killapi	11月16日
Belmopan	ベルモパン
Carolus Magnus	カール大帝
San José (Kustarika)	サンホセ (コスタリカ)
